#id: 3223230345
#name: H.sapiens - Brain (Integrated)
#score: 24.07
#description: integrated dataset: weighted average of all H.sapiens BRAIN, Interaction consistency score: 24.07, Coverage: 57
#organ: BRAIN
#integrated: true
#coverage: 57
#publication_year: 2021
#filename: 9606-BRAIN-integrated.txt
#
#internal_id	string_external_id	abundance
4444160	9606.ENSP00000362413	1583
4445814	9606.ENSP00000373620	1569
4444057	9606.ENSP00000362014	1540
4448229	9606.ENSP00000402373	1514
4444869	9606.ENSP00000366525	1484
4438640	9606.ENSP00000310861	1473
4434387	9606.ENSP00000254810	1472
4442746	9606.ENSP00000355778	1472
4436571	9606.ENSP00000284240	1471
4450530	9606.ENSP00000456206	1470
4433816	9606.ENSP00000242285	1451
4443964	9606.ENSP00000361635	1417
4440643	9606.ENSP00000335153	1398
4447434	9606.ENSP00000386857	1392
4444013	9606.ENSP00000361824	1381
4446837	9606.ENSP00000381607	1354
4438030	9606.ENSP00000304229	1348
4451404	9606.ENSP00000479606	1345
4434076	9606.ENSP00000248975	1343
4443770	9606.ENSP00000360609	1331
4435881	9606.ENSP00000269321	1316
4437297	9606.ENSP00000296511	1306
4437332	9606.ENSP00000296755	1295
4448216	9606.ENSP00000402103	1295
4436083	9606.ENSP00000273550	1293
4433003	9606.ENSP00000217182	1286
4439661	9606.ENSP00000324105	1265
4433675	9606.ENSP00000237014	1254
4451446	9606.ENSP00000480050	1243
4434836	9606.ENSP00000261205	1242
4441216	9606.ENSP00000342026	1231
4448878	9606.ENSP00000417207	1230
4432936	9606.ENSP00000216254	1218
4442650	9606.ENSP00000355315	1216
4447156	9606.ENSP00000384719	1210
4443642	9606.ENSP00000359991	1206
4434307	9606.ENSP00000253413	1205
4432855	9606.ENSP00000215095	1204
4450150	9606.ENSP00000445175	1193
4445700	9606.ENSP00000371958	1161
4437274	9606.ENSP00000296417	1157
4438410	9606.ENSP00000308405	1157
4445746	9606.ENSP00000372654	1157
4448429	9606.ENSP00000406773	1143
4433608	9606.ENSP00000233893	1137
4436158	9606.ENSP00000274764	1115
4440154	9606.ENSP00000330074	1114
4432889	9606.ENSP00000215909	1113
4439523	9606.ENSP00000322419	1103
