Uniprot,#Peptides_Macron2018A,#Peptides_Macron2020,#Peptides_Zhang2015,#Peptides_Guldbrandsen2014,#Peptides_Macron2018B,#Peptides_Schutzer2010,#Peptides_NunezGalindo2015,#Peptides_Zougman2007,#Peptides_Schilde2018,#Peptides_Guo2015,#Peptides_Stoop2010,#Studies
Q13442,5.0,,2.0,1.0,2.0,,,,,,,4
Q9NZP8,12.0,16.0,8.0,16.0,6.0,14.0,4.0,2.0,2.0,2.0,2.0,11
Q93091,4.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,2.0,,,9
Q13439,1.0,,,,,1.0,,,,,,2
Q13438,1.0,5.0,5.0,3.0,1.0,1.0,,,,,,6
Q13435,2.0,6.0,,,,,,,,,,2
P04217,29.0,44.0,20.0,50.0,23.0,48.0,8.0,14.0,17.0,26.0,8.0,11
Q13428,2.0,3.0,,,,,,,,,,2
Q13421,13.0,14.0,11.0,8.0,6.0,9.0,2.0,,,,,7
Q9NZN4,1.0,3.0,2.0,,1.0,1.0,,,,,,5
Q2M2Z5,1.0,,,,,,,,,,,1
Q13415,1.0,,,,,,,,,,,1
Q13409,3.0,2.0,3.0,2.0,2.0,2.0,,,,,,6
Q13404,6.0,5.0,,6.0,4.0,,,,,,,4
Q9NZL9,2.0,,,1.0,,,,,,,,2
Q9BWV1,6.0,6.0,12.0,5.0,1.0,2.0,,,,,,6
O75144,5.0,6.0,5.0,7.0,5.0,7.0,3.0,2.0,2.0,,,9
P82987,11.0,18.0,12.0,5.0,8.0,1.0,,,,,,6
Q9NZK5,7.0,9.0,15.0,14.0,5.0,11.0,,,,,,6
Q9BX67,8.0,9.0,6.0,8.0,5.0,4.0,3.0,2.0,3.0,,,9
Q9BX66,2.0,,,,2.0,1.0,,,,,,3
Q9BX63,1.0,,,,,,,,,,,1
Q9Y5E5,3.0,6.0,,,2.0,,,,,,,3
Q9NZJ5,1.0,,,1.0,,,,,,,,2
Q9NZJ4,1.0,,,,1.0,,,,,,,2
C9JLW8,1.0,,,,,,,,,,,1
P52272,2.0,2.0,7.0,,1.0,,,,,,,4
Q9BWS9,4.0,5.0,7.0,8.0,2.0,2.0,,,,,,6
Q9NZH0,1.0,2.0,,,1.0,,,,,,,3
P34949,1.0,,10.0,10.0,,,,,,,,3
Q9BWQ8,7.0,12.0,3.0,4.0,8.0,10.0,3.0,,,,,7
P34932,10.0,16.0,17.0,5.0,3.0,2.0,,,,,,6
P34931,13.0,15.0,,,12.0,,,,2.0,,,4
Q9BWP8,4.0,3.0,6.0,4.0,1.0,,,,,,,5
A6QL63,1.0,,,,,,,,,,,1
P34925,1.0,,,,1.0,,,,,,,2
P34910,1.0,,,,,,,,,,,1
Q9NZD4,1.0,3.0,,,1.0,,,,,,,3
P34903,1.0,2.0,,,,,,,,,,2
Q9NZC2,1.0,,3.0,2.0,1.0,,,,2.0,,,5
P61278,6.0,6.0,2.0,2.0,4.0,14.0,2.0,,,8.0,,8
Q9NZB2,1.0,3.0,,,,,,,,,,2
P61266,4.0,7.0,9.0,6.0,3.0,2.0,,,,,,6
Q03167,12.0,13.0,18.0,16.0,8.0,7.0,1.0,5.0,3.0,,,9
P14415,3.0,4.0,4.0,3.0,2.0,5.0,1.0,,,,,7
Q03154,1.0,,4.0,2.0,,,,,,,,3
Q6PJF5,1.0,2.0,,,,,,,,,,2
P84157,5.0,3.0,3.0,1.0,2.0,4.0,,,,,,6
P61247,3.0,4.0,,,,,,,,,,2
P07148,6.0,5.0,2.0,4.0,3.0,,,,,,,5
Q03135,1.0,,,,,,,,,,,1
Q2M2I8,2.0,3.0,,,,,,,,,,2
O15498,1.0,,4.0,,,,,,,,,2
O15484,1.0,,,,,,,,,,,1
Q6P4F2,1.0,,,,1.0,,,,,,,2
Q9BWD1,2.0,4.0,6.0,2.0,,,,,,,,4
O15467,2.0,,,2.0,,,,,,,,2
O15466,6.0,7.0,8.0,8.0,2.0,5.0,,1.0,,,,7
Q9NYX4,3.0,9.0,3.0,3.0,2.0,6.0,,,2.0,,,7
P24666,2.0,2.0,2.0,2.0,1.0,,,,,,,5
P04196,13.0,10.0,22.0,34.0,7.0,25.0,3.0,15.0,13.0,26.0,10.0,11
O15440,1.0,,,,,,,,,,,1
P20472,10.0,7.0,6.0,17.0,11.0,,3.0,5.0,4.0,,,8
Q9NYU2,2.0,,23.0,8.0,,2.0,,,,,,4
P04179,7.0,10.0,8.0,8.0,6.0,2.0,2.0,4.0,,,,8
Q01995,13.0,16.0,14.0,21.0,11.0,5.0,6.0,15.0,2.0,6.0,,10
Q9NZ45,1.0,,,,1.0,,,,,,,2
P05546,24.0,28.0,25.0,47.0,18.0,,9.0,,11.0,44.0,,8
P04746,7.0,7.0,,13.0,,4.0,,,,,,4
P04155,1.0,,,,,,,,,,,1
Q13361,2.0,,4.0,2.0,,,,,,,,3
Q01973,6.0,7.0,6.0,3.0,3.0,1.0,,,,,,6
O15400,5.0,7.0,5.0,5.0,5.0,3.0,,,,,,6
P19957,2.0,2.0,,1.0,,,,,,,,3
Q9NYQ8,74.0,75.0,117.0,109.0,51.0,38.0,1.0,66.0,19.0,58.0,,10
Q9NYQ7,6.0,9.0,3.0,,1.0,,,,,,,4
Q9NZ20,1.0,2.0,,,,,,,,,,2
Q9NYP8,1.0,,2.0,,,,,,,,,2
Q6V0I7,1.0,,,1.0,2.0,,,,,,,3
Q684P5,1.0,,,,,,,,,,,1
Q13332,40.0,37.0,37.0,46.0,20.0,45.0,8.0,10.0,10.0,12.0,,10
P04114,17.0,23.0,103.0,147.0,1.0,89.0,,66.0,43.0,14.0,,9
Q2M1Z3,1.0,,,,1.0,1.0,,,,,,3
Q9BW91,2.0,2.0,2.0,,,,,,,,,3
P34896,1.0,,,,,,,,,,,1
Q13308,8.0,10.0,10.0,7.0,,2.0,,,,,,5
Q9NYL9,2.0,3.0,,,2.0,,,,,,,3
Q96TA2,1.0,2.0,3.0,1.0,,,,,,,,4
Q14517,13.0,13.0,43.0,22.0,6.0,,,,,,,5
Q96DG6,2.0,,5.0,2.0,1.0,,,,,,,4
Q08629,18.0,29.0,18.0,23.0,12.0,9.0,4.0,5.0,8.0,2.0,,10
Q6ZU65,2.0,,,,,1.0,,,,,,2
Q9NYJ1,1.0,,,,,,,,,,,1
O75676,1.0,,,,,,,,,,,1
Q9UHL4,8.0,10.0,15.0,20.0,9.0,22.0,2.0,2.0,4.0,16.0,,10
Q9Y666,2.0,,,,,,,,,,,1
Q9NYI0,1.0,,,,,,,,,,,1
P14384,6.0,5.0,8.0,8.0,2.0,7.0,,,,,,6
O95715,2.0,,,,2.0,,,,,,,2
Q96SZ5,1.0,,2.0,,,1.0,,,,,,3
Q9BW04,2.0,,,,1.0,,,,,,,2
P17643,1.0,,,1.0,,1.0,,,,,,3
P42702,1.0,3.0,8.0,3.0,2.0,1.0,,,,,,6
O95747,2.0,2.0,2.0,2.0,1.0,,,,,,,5
P61163,1.0,,,,,,,,,,,1
Q9NYA4,1.0,,2.0,1.0,1.0,,,,,,,4
Q9BVK6,2.0,3.0,2.0,,,1.0,,,,,,4
P14314,20.0,23.0,18.0,22.0,13.0,13.0,10.0,3.0,2.0,6.0,,10
P09651,3.0,8.0,9.0,,1.0,,2.0,,,,,5
P61158,8.0,5.0,5.0,3.0,2.0,,,,,,,5
Q9H0U4,7.0,6.0,,,3.0,,,,,,,3
Q68CZ1,1.0,,,,,,,,,,,1
P81605,6.0,6.0,3.0,3.0,5.0,1.0,1.0,2.0,,,,8
Q5BLP8,4.0,6.0,5.0,4.0,4.0,,2.0,,2.0,8.0,,8
Q5IJ48,6.0,10.0,16.0,8.0,2.0,4.0,,,,,,6
Q9BVH7,2.0,,5.0,3.0,,,,,,,,3
P09622,7.0,10.0,11.0,12.0,3.0,7.0,,1.0,,,,7
Q68D85,3.0,3.0,2.0,2.0,1.0,3.0,,,,,,6
O15394,32.0,36.0,41.0,56.0,22.0,56.0,18.0,18.0,13.0,28.0,5.0,11
B9A064,3.0,2.0,20.0,20.0,1.0,,,,,3.0,,6
P09603,10.0,19.0,11.0,21.0,7.0,17.0,3.0,2.0,5.0,4.0,,10
P09601,1.0,,,,,,,,,,,1
P61106,4.0,3.0,26.0,3.0,1.0,,,,,,,5
P24593,17.0,28.0,12.0,19.0,13.0,6.0,6.0,2.0,2.0,,,9
P24592,44.0,58.0,13.0,34.0,25.0,12.0,11.0,8.0,6.0,14.0,3.0,11
Q9NXZ2,1.0,,,,,,,,,,,1
O15372,1.0,,,,,,,,,,,1
Q96SM3,2.0,4.0,13.0,4.0,,,,,,,,4
O15354,14.0,25.0,8.0,6.0,11.0,6.0,5.0,,3.0,4.0,,9
Q9UI32,1.0,,,,,1.0,,,,,,2
Q5T5P2,1.0,4.0,,,,,,,,,,2
P04085,5.0,4.0,4.0,4.0,2.0,5.0,,,,,,6
Q13296,1.0,,,,,,,,,,,1
O15335,6.0,6.0,9.0,8.0,6.0,10.0,,5.0,,,,7
P19883,2.0,,,1.0,,,,,,,,2
P04070,3.0,6.0,11.0,11.0,3.0,5.0,,,4.0,,,7
Q9NY59,1.0,,,1.0,,,,,,,,2
P19878,1.0,5.0,,,,,,,,,,2
P24530,3.0,,,,1.0,1.0,,,,,,3
P04066,4.0,4.0,11.0,11.0,4.0,13.0,1.0,,,6.0,,8
P04062,1.0,5.0,8.0,12.0,1.0,,,,,,,5
Q13275,13.0,20.0,18.0,16.0,4.0,1.0,,,,,,6
Q9NY47,10.0,10.0,24.0,26.0,3.0,21.0,,6.0,2.0,,,8
Q9NXS2,2.0,,5.0,3.0,1.0,,,,,,,4
O43491,5.0,12.0,4.0,2.0,3.0,1.0,,,,,,6
Q9NY33,7.0,5.0,12.0,9.0,1.0,5.0,,,,,,6
Q13255,3.0,5.0,2.0,1.0,1.0,,,,,,,5
P04040,9.0,16.0,13.0,8.0,5.0,8.0,,,,,,6
Q13242,1.0,2.0,,,,,,,,,,2
P19838,1.0,,,,,,,,,,,1
Q9NY15,8.0,6.0,32.0,4.0,2.0,2.0,,,,,,6
Q13232,2.0,2.0,4.0,4.0,,2.0,,,,,,5
P19827,20.0,27.0,26.0,52.0,16.0,46.0,12.0,22.0,10.0,22.0,3.0,11
P19823,29.0,37.0,41.0,39.0,27.0,66.0,13.0,30.0,13.0,34.0,4.0,11
Q13228,16.0,24.0,27.0,32.0,17.0,14.0,4.0,,10.0,8.0,,9
B8ZZ34,4.0,4.0,2.0,,1.0,1.0,1.0,,,,,6
P04004,28.0,39.0,17.0,41.0,17.0,32.0,9.0,12.0,8.0,30.0,7.0,11
Q13217,12.0,12.0,16.0,13.0,5.0,4.0,,,,,,6
Q13214,16.0,13.0,20.0,18.0,8.0,7.0,,,2.0,,,7
Q08554,5.0,6.0,5.0,4.0,2.0,,,,2.0,,,6
Q13201,4.0,10.0,4.0,2.0,3.0,3.0,,,,,,6
Q9NXL6,1.0,,,,,,,,,,,1
Q9BV73,1.0,2.0,,,,,,,,,,2
O75368,10.0,11.0,6.0,12.0,7.0,1.0,2.0,5.0,,,,8
Q69YU3,1.0,,,,,,,,,,,1
Q9BV40,1.0,2.0,,,,,,,,,,2
Q6ZSS7,1.0,2.0,,1.0,2.0,,,,,,,4
P34741,3.0,2.0,,2.0,2.0,2.0,,,,,,5
Q9NXG2,1.0,,,,,,,,,,,1
Q9BUP0,5.0,2.0,4.0,,,,,,,,,3
P46109,5.0,5.0,5.0,,,,,,,,,3
Q9Y237,1.0,,,,,,,,,,,1
Q9BUN1,1.0,2.0,4.0,2.0,1.0,2.0,,,,,,6
Q96S96,9.0,14.0,11.0,16.0,11.0,20.0,3.0,7.0,6.0,12.0,,10
P61088,2.0,5.0,6.0,3.0,2.0,,,,,,,5
P61086,1.0,3.0,4.0,1.0,,,,,,,,4
Q96RW7,6.0,11.0,62.0,19.0,1.0,4.0,,,,,,6
Q96S86,8.0,7.0,,,1.0,,,,,,,3
O60939,3.0,3.0,3.0,4.0,2.0,2.0,,,,,,6
P15924,3.0,11.0,10.0,6.0,,1.0,,5.0,,,,6
Q9NXA8,1.0,,,,,,,,,,,1
Q96S66,1.0,2.0,,2.0,,1.0,,,,,,4
P14210,1.0,3.0,,,,,,,,,,2
P14209,13.0,5.0,,,,28.0,,,2.0,,,4
P14207,7.0,8.0,13.0,16.0,6.0,,1.0,,3.0,,,7
P02818,2.0,4.0,,,4.0,,,,,,,3
Q9BUJ0,3.0,3.0,5.0,3.0,3.0,5.0,,,,,,6
Q6ZSJ9,3.0,6.0,2.0,2.0,3.0,,1.0,,,,,6
P42263,3.0,3.0,3.0,1.0,1.0,,,,,,,5
Q9HC36,,2.0,,,,1.0,,,,,,2
Q9HC10,,4.0,,,,,,,,,,1
Q9HBJ7,,2.0,,,,,,,,,,1
Q86VQ1,,2.0,,,,,,,,,,1
P78527,,2.0,,,,1.0,,,,,,2
Q86VI3,,2.0,,,,,,,,,,1
Q6NVV1,,2.0,,,,,,,,,,1
Q13761,,3.0,,,,,,,,,,1
Q9HAV0,,3.0,,,,,,,,,,1
Q13733,,3.0,,,,,,,,,,1
Q96R06,,2.0,,,,,,,,,,1
P19876,,3.0,,,,,,,,,,1
Q86UR5,,2.0,,,,,,,,,,1
Q86UP0,,3.0,,,,,,,,,,1
P78410,,3.0,,,,,,,,,,1
Q96RF0,,2.0,,1.0,,1.0,,,,,,3
P68133,,21.0,,22.0,,,,,,,,2
Q9HA64,,2.0,3.0,,,,,,,,,2
P24844,,5.0,,,,,,,,,,1
Q13636,,2.0,,,,,,,,,,1
Q13617,,3.0,,,,,,,,,,1
P78385,,3.0,,,,,,,,,,1
P51153,,2.0,,,,,,,,,,1
P78362,,3.0,,,,,,,,,,1
P14598,,2.0,,,,,,,,,,1
P78347,,2.0,,,,,,,,,,1
O15389,,6.0,,,,,,,,,,1
P51114,,2.0,,,,,,,,,,1
P04054,,2.0,,,1.0,,,,,,,2
P78312,,2.0,,,,,,,,,,1
Q13219,,4.0,6.0,1.0,,1.0,,,,,,4
Q13310,,2.0,,,,,,,,,,1
Q13509,,7.0,24.0,,,,,,,,,2
O00238,,2.0,,,,,,,,,,1
Q96T37,,2.0,,,,,,,,,,1
Q86T13,,3.0,6.0,7.0,,,,,,,,3
Q86SH2,,2.0,,,,,,,,,,1
P00367,,2.0,,2.0,,,,,,,,2
P61225,,3.0,,,,,,,,,,1
P10768,,3.0,5.0,11.0,2.0,2.0,,,,,,5
P29466,,2.0,,,,,,,,,,1
Q9NYQ6,,2.0,2.0,,,1.0,,,,,,3
Q13480,,3.0,,,,,,,,,,1
P61224,,2.0,3.0,1.0,,1.0,,,,,,4
Q6NSJ2,,2.0,,,,,,,,,,1
Q13162,,3.0,,,,,,,,,,1
Q5JXB2,,4.0,,,,,,,,,,1
Q9GZS1,,2.0,,,,,,,,,,1
A2VEC9,,2.0,,,,,,,,,,1
Q9NZN3,,2.0,2.0,,,,,,,,,2
P24588,,3.0,,,1.0,,,,,,,2
Q13367,,4.0,,,,,,,,,,1
Q9NYV4,,2.0,,,,,,,,,,1
Q9NZ01,,2.0,,,,,,,,,,1
Q96TA0,,2.0,,,,,,,,,,1
P78386,,2.0,10.0,,,,,,,,,2
Q03001,,2.0,,,1.0,1.0,,,,,,3
Q9NYC9,,2.0,,,,,,,,,,1
P61081,,2.0,,,1.0,,,,,,,2
P61077,,2.0,,2.0,,,,,,,,2
Q13287,,2.0,,,,,,,,,,1
Q13283,,3.0,2.0,,,,,,,,,2
P61026,,3.0,,,,,,,,,,1
Q702N8,,3.0,,,1.0,,1.0,,,,,3
Q13263,,2.0,,,,,,,,,,1
O15165,,2.0,,1.0,,,,,,,,2
Q9NY65,,6.0,,,,,,,,,,1
Q96SB3,,2.0,,,,,,,,,,1
Q96RY7,,2.0,,,,,,,,,,1
Q9BY89,,3.0,,,,,,,,,,1
Q96RQ9,,2.0,,,1.0,,,,,,,2
Q13151,,2.0,,,,,,,,,,1
Q96RL7,,2.0,,,,,,,,,,1
O15047,,3.0,,,,,,,,,,1
Q9GZM7,,3.0,6.0,3.0,1.0,,,,,,,4
Q66K74,,2.0,,,,,,,,,,1
P78552,,2.0,3.0,3.0,,,,,,,,3
Q6H3X3,,4.0,,,,,,,,,,1
Q9NWH9,,2.0,,,,,,,,,,1
A1L4K1,,2.0,,,,,,,,,,1
Q9BYE2,,3.0,,,,,,,,,,1
Q86UW6,,2.0,,,,,,,,,,1
Q13094,,2.0,,,1.0,,,,,,,2
Q13043,,2.0,,,,,,,,,,1
Q5XXA6,,2.0,,,1.0,,,,,,,2
Q96QH2,,2.0,,,,,,,,,,1
Q5UIP0,,2.0,,,,,,,,,,1
P41219,,3.0,2.0,,,,,,,,,2
Q9NVA2,,2.0,,,,,,,,,,1
Q9H9Y6,,2.0,,,,,,,,,,1
Q96Q15,,2.0,,,,,,,,,,1
Q9NUJ3,,2.0,,,,,,,,,,1
Q96P16,,2.0,,,,,,,,,,1
Q6NXS1,,3.0,,,,,,,,,,1
Q6DN14,,3.0,,,,,,,,,,1
Q9NU22,,2.0,,,,1.0,,,,,,2
Q9H8M5,,3.0,,,1.0,,,,,,,2
P54709,,3.0,3.0,,,,,,,,,2
P54707,,2.0,,,,,,,,,,1
Q96NZ8,,2.0,,,,,,,,,,1
Q96NY7,,2.0,5.0,3.0,,2.0,,,,,,4
Q96NU0,,3.0,,9.0,2.0,,,,,,,3
Q9UPY6,,2.0,,,,,,,,,,1
Q9NT68,,2.0,21.0,14.0,,3.0,,,,,,4
Q9H7L2,,2.0,,,,,,,,,,1
Q9UPQ9,,2.0,,,,,,,,,,1
Q9UQ16,,2.0,,,,1.0,,,,,,2
Q9UPN3,,4.0,,,,,,,,,,1
P0DPK4,,5.0,,,,,,,,,,1
P0DPK3,,5.0,,,,,,,,,,1
Q96MX3,,2.0,,,,,,,,,,1
P0DPI2,,3.0,,,,,,,,,,1
Q9NSB2,,2.0,6.0,,,1.0,,,,,,3
Q96N23,,3.0,,,1.0,,,,,,,2
Q96MK2,,2.0,,,,,,,,,,1
Q9H6R3,,3.0,,,,,,,,,,1
Q9NRU3,,3.0,,,,,,,,,,1
P0DOX7,,4.0,,,,,,,,,,1
P0DOX5,,8.0,,,,,,,,,,1
P0DOX2,,3.0,,,,,,,,,,1
Q9H6N6,,2.0,,,,,,,,,,1
P51826,,2.0,,,,,,,,,,1
Q9NRM1,,2.0,,,,1.0,,,,,,2
Q06787,,3.0,,,,,,,,,,1
P17987,,3.0,,,,,,,,,,1
O75962,,3.0,2.0,,,,,,,,,2
Q9H5Y7,,2.0,10.0,10.0,,3.0,,,,,,4
O75914,,4.0,,,,,,,,,,1
Q9NQX4,,3.0,,,,,,,2.0,,,2
Q9NQW6,,3.0,,,,,,,,,,1
Q9NQV8,,3.0,,,,,,,,,,1
Q9NQT8,,2.0,,,,1.0,,,,,,2
Q9NQG5,,2.0,,,,,,,,,,1
Q96L92,,3.0,,,,,,,,,,1
Q96L91,,2.0,,,,,,,,,,1
O75891,,2.0,2.0,,,,,,,,,2
Q96L42,,2.0,,,,,,,,,,1
O75828,,2.0,5.0,,,,,,,,,2
O75821,,2.0,,,,,,,,,,1
Q96KN8,,2.0,,,,,,,,,,1
O75815,,2.0,,,,,,,,,,1
Q9UN75,,4.0,,2.0,,,,,,,,2
Q9UN72,,7.0,,,,,,,,,,1
Q9UN71,,9.0,,,,,,,,,,1
Q9H4M9,,3.0,2.0,,,,,,,,,2
P0DN37,,2.0,,,,,,,,,,1
Q9H4B7,,2.0,,,,4.0,,,,,,2
Q16777,,3.0,,,,,,,,,,1
Q16773,,3.0,3.0,3.0,,,,,,,,3
Q8TD47,,2.0,,,,,,,,,,1
O75715,,2.0,,,,,,,,,,1
P07478,,10.0,,8.0,,,,,,,,2
P04733,,8.0,,1.0,2.0,,,,,,,3
Q96JJ3,,2.0,,,,,,,,,,1
Q9H3P7,,3.0,,,,,,,,,,1
Q9ULV8,,2.0,,,,,,,,,,1
Q9ULU8,,3.0,,,,,,,,,,1
Q9ULU4,,3.0,,,,,,,,,,1
Q9H3N1,,2.0,,,,,,,,,,1
Q96JB5,,3.0,,,,,,,,,,1
Q96JB1,,3.0,,,1.0,,,,,,,2
P0DM35,,2.0,,,,,,,,,,1
Q9UM07,,2.0,,,,,,,,,,1
P17693,,3.0,,,,1.0,,,,,,2
Q9ULM3,,2.0,,,,,,,,,,1
Q9ULJ8,,2.0,,,,,,,,,,1
Q9ULI0,,2.0,,,,,,,,,,1
Q96IV0,,2.0,,,,,,,,,,1
Q16695,,3.0,2.0,,,,,,,,,2
Q9H2X3,,2.0,,,,,,,,,,1
Q9NNZ6,,2.0,,,,,,,,,,1
O75610,,2.0,,,,,,,,,,1
Q9H361,,2.0,,,1.0,,,,,,,2
Q9UKX3,,5.0,,,,,,,,,,1
P07320,,2.0,,,1.0,,,,,,,2
Q9UKP4,,2.0,,,,,,,,,,1
Q5NE16,,2.0,,,,,,,,,,1
Q9H2G2,,2.0,,,,,,,,,,1
Q9UKM9,,3.0,,,,,,,,,,1
Q9UKL3,,2.0,,,,,,,,,,1
Q9H2D6,,3.0,,,,,,,,,,1
O75592,,2.0,,,,,,,,,,1
Q5R3F8,,2.0,2.0,1.0,,,,,,,,3
Q96I24,,2.0,,,,,,,,,,1
Q16566,,4.0,,1.0,,,,,,,,2
Q92736,,2.0,,,,1.0,,,,,,2
Q16549,,2.0,2.0,1.0,,,,,,,,3
Q9H1R3,,2.0,,,,,,,,,,1
Q9UJV9,,3.0,,,,,,,,,,1
P27708,,2.0,,,,,,,,,,1
P07205,,4.0,,,,,,,,,,1
P28370,,4.0,,,,,,,,,,1
O95996,,4.0,,,,,1.0,,,,,2
P0DJD4,,2.0,,,,,,,,,,1
P20930,,6.0,,,,,,,,,,1
Q9H158,,2.0,,,,,,,,,,1
Q15269,,2.0,,,,,,,,,,1
Q9H0N5,,2.0,,,,,,,,,,1
Q9UJ37,,2.0,3.0,,,,,,,,,2
Q9H0K1,,2.0,,,,,,,,,,1
Q9UIQ6,,3.0,13.0,6.0,1.0,,,,,,,4
P10606,,2.0,,,1.0,,,,,,,2
Q6UB99,,2.0,,,,,,,,,,1
Q96FV9,,2.0,,,,,,,,,,1
O95861,,2.0,6.0,3.0,,,,,,,,3
O95834,,2.0,,1.0,,,,,,,,2
O75351,,3.0,,,,,,,,,,1
P20849,,3.0,,,,,,,,,,1
P20848,,2.0,2.0,,,,,,,,,2
Q9UHY7,,2.0,4.0,3.0,,1.0,,,,,,4
Q9H013,,2.0,,,2.0,,,,,,,2
Q8IZ52,,4.0,10.0,,,,,,,,,2
Q8NHY6,,2.0,,,,,,,,,,1
O95789,,2.0,,,,,,,,,,1
Q8NI17,,2.0,,,,,,,,,,1
O95721,,2.0,,,,,,,,,,1
Q52LR7,,3.0,,,,,,,,,,1
O95716,,4.0,,1.0,,,,,,,,2
Q16288,,4.0,7.0,7.0,,5.0,,1.0,,,,5
Q96F07,,2.0,,,,,,,,,,1
P11678,,5.0,,,,,,,,,,1
Q16204,,2.0,2.0,,,,,,,,,2
Q5JR59,,2.0,,,,,,,,,,1
Q9UGM3,,3.0,,,,,,,,,,1
Q9Y6M5,,2.0,,,,,,,,,,1
O95678,,6.0,24.0,5.0,,1.0,,,,,,4
Q9Y6F9,,3.0,4.0,1.0,,,,,,,,3
Q9Y6D9,,2.0,,,,,,,,,,1
Q9Y6D5,,2.0,,,,,,,,,,1
Q96E39,,5.0,,,,,,,,,,1
O75153,,2.0,,,,,,,,,,1
O75146,,4.0,,,,,,,,,,1
Q96E17,,2.0,,,,,,,,,,1
Q5XKE5,,4.0,,,,,,,,,,1
Q9Y5Z0,,3.0,,,,,,,,,,1
Q9Y5Y9,,2.0,,,,,,,,,,1
Q9Y623,,5.0,2.0,,,,,2.0,,,,3
Q92997,,2.0,,,,,,,,,,1
Q8NFZ3,,5.0,,,,,1.0,,,,,2
P17066,,9.0,,4.0,,,,,,,,2
Q8NFX7,,2.0,,,,,,,,,,1
Q8NFW1,,3.0,,,,,,,,,,1
Q8NG75,,2.0,,,,,,,,,,1
Q9UFH2,,2.0,,,,,,,,,,1
Q9Y5I3,,2.0,,,,,,,,,,1
Q9Y5I2,,3.0,,,,,,,,,,1
Q9Y5I1,,3.0,,,,,,,,,,1
Q9Y5I0,,5.0,,,,,,,,,,1
Q9Y5H8,,4.0,,,,,,,,,,1
Q9Y5H7,,4.0,,,,,,,,,,1
Q9Y5H6,,8.0,,,2.0,,,,,,,2
Q9Y5H4,,9.0,,,,,,,,,,1
Q9Y5H0,,14.0,,,,,,,,,,1
Q5JPE7,,11.0,,,,,,,,,,1
Q9Y5G9,,12.0,,5.0,,,,,,,,2
Q9Y5G6,,9.0,,,,,,,,,,1
Q96D71,,2.0,,,,,,,,,,1
Q9Y5F8,,14.0,,4.0,,,,,,,,2
Q9Y5E6,,4.0,,,,,,,,,,1
Q9Y5E3,,2.0,,,,,,,,,,1
Q9Y5E2,,2.0,,,,,,,,,,1
Q9Y5E1,,10.0,,,,,,,,,,1
Q7Z3Y8,,3.0,,2.0,,,,,,,,2
Q96CS3,,2.0,,,,,,,,,,1
O75019,,3.0,4.0,1.0,3.0,,,,,,,4
Q8NFI4,,3.0,,,1.0,,,,,,,2
Q9UEW3,,6.0,3.0,4.0,,,,,,,,3
Q8NEZ4,,2.0,,,,1.0,,,,,,2
A6NFU8,,3.0,,,,,,,,,,1
Q8NF99,,2.0,,,1.0,,,,,,,2
Q8NF91,,6.0,,,,,,,,,,1
Q9Y4I1,,2.0,,,,,,,,,,1
Q96C86,,4.0,,,,,,,,,,1
Q9Y4H2,,2.0,,,,,,,,,,1
O95477,,2.0,,,,2.0,,,,,,2
Q9Y4F1,,2.0,,,,,,,,,,1
O95425,,2.0,,,,,,,,,,1
P27105,,3.0,,,,2.0,,,,,,2
Q9Y3R5,,2.0,,,,,,,,,,1
Q9Y3P9,,2.0,,,,,,,,,2.0,2
Q9Y3L5,,3.0,,,,,,,,,,1
A6NGG8,,2.0,,,,,,,,,,1
P10114,,3.0,3.0,,,,,,,,,2
O95352,,2.0,,,,,,,,,,1
P40855,,2.0,,,,,,,,,,1
O95302,,2.0,5.0,,,,,,,,,2
P20338,,2.0,,5.0,,,,,,,,2
P20336,,3.0,,,,,,,,,,1
Q8NDH2,,3.0,,,,,,,,,,1
Q96AJ1,,2.0,,,,,,,,,,1
Q8NDA2,,3.0,,,,,,,,,,1
P57723,,2.0,,,,,,,,,,1
Q9Y2K7,,2.0,,,,,,,,,,1
Q9Y2K2,,2.0,,,,,,,,,,1
P84085,,2.0,,,,,,,,,,1
O95235,,2.0,,,,,,,,,,1
Q96A08,,4.0,,,,1.0,,,,,,2
Q8NCB2,,3.0,,1.0,,,,,,,,2
Q8NC54,,2.0,,,,,,,,,,1
O95166,,3.0,2.0,1.0,,,,,,,,3
Q9P1Z3,,3.0,,,,1.0,,,,,,2
A7E2Y1,,6.0,,,,,,,,,,1
P20020,,3.0,,,,2.0,,,,,,2
A6NE52,,2.0,,,,,,,,,,1
P60866,,2.0,,,1.0,,,,,,,2
Q562R1,,10.0,,4.0,,10.0,,,,,,3
O14979,,4.0,3.0,,,,,,,,,2
O14960,,2.0,,,,,,,,,,1
P40306,,2.0,,,,,,,,,,1
Q562F6,,2.0,,,,,,,,,,1
Q562E7,,3.0,,,,,,,,,,1
Q12965,,2.0,,,,,,,,,,1
P40227,,2.0,,,1.0,1.0,,,,,,3
Q12906,,2.0,,,,,,,,,,1
P15085,,2.0,5.0,3.0,,,,,,,,3
P57071,,2.0,,,,,,,,,,1
P13798,,2.0,,,,,,,,,,1
P13762,,3.0,,,,,,,,,,1
P13727,,3.0,4.0,,,,,,,,,2
Q5FWF4,,2.0,,,,,,,,,,1
Q969V5,,2.0,,,,,,,,,,1
