Uniprot,#Peptides_Macron2018A,#Peptides_Macron2020,#Peptides_Zhang2015,#Peptides_Guldbrandsen2014,#Peptides_Macron2018B,#Peptides_Schutzer2010,#Peptides_NunezGalindo2015,#Peptides_Zougman2007,#Peptides_Schilde2018,#Peptides_Guo2015,#Peptides_Stoop2010,#Studies
O76003,1.0,2.0,2.0,,,,,,,,,3
Q5TC84,1.0,,,2.0,,,,,,,,2
Q15717,1.0,,,,,,,,,,,1
Q15714,2.0,,,1.0,1.0,,,,,,,3
P48681,3.0,3.0,,,,,,,,,,2
A0MZ66,3.0,,,,,,,,,,,1
P21453,3.0,2.0,,2.0,1.0,,,,,,,4
P48643,2.0,,,,,,,,,,,1
Q8N608,10.0,11.0,21.0,13.0,3.0,7.0,,,,,,6
P48637,10.0,13.0,14.0,10.0,5.0,4.0,,,,,,6
P48634,1.0,,,,,,,,,,,1
P08727,8.0,12.0,,,,,,,,,,2
P28161,2.0,,10.0,6.0,,2.0,,,,,,4
O75023,1.0,2.0,3.0,1.0,,,,,,,,4
Q8WX93,1.0,,,,,,,,,,,1
Q99983,7.0,11.0,8.0,12.0,9.0,15.0,4.0,2.0,4.0,16.0,,10
P08779,11.0,18.0,,16.0,3.0,2.0,,,,,,5
Q8WX77,10.0,11.0,8.0,6.0,9.0,1.0,2.0,,,,,7
Q99972,13.0,18.0,14.0,10.0,10.0,5.0,2.0,,,,,7
Q6PUV4,3.0,3.0,4.0,1.0,3.0,,,,,,,5
Q99969,10.0,9.0,8.0,10.0,5.0,3.0,5.0,3.0,4.0,6.0,,10
Q99946,2.0,5.0,2.0,3.0,3.0,2.0,,,,,,6
Q99944,3.0,4.0,,1.0,,,,,,,,3
P31689,5.0,2.0,2.0,,2.0,,,,,,,4
Q2V2M9,1.0,2.0,,,,,,,,,,2
Q99932,1.0,,,,1.0,,,,,,,2
Q8WWQ2,1.0,,,,,,,,,,,1
Q8WWP7,1.0,,,,1.0,,,,,,,2
P26992,4.0,10.0,10.0,14.0,2.0,6.0,2.0,1.0,4.0,6.0,,10
O75078,13.0,11.0,16.0,14.0,4.0,9.0,,,4.0,,,7
P43034,4.0,5.0,4.0,3.0,2.0,,,,,,,5
A6NI72,3.0,2.0,,,,,,,,,,2
Q8WWM7,1.0,3.0,,,,,,,,,,2
P43007,1.0,,,,,,,,,,,1
P11150,1.0,,,,,,,,,,,1
P43004,4.0,4.0,4.0,2.0,3.0,1.0,,,,,,6
P11142,25.0,27.0,27.0,22.0,20.0,9.0,3.0,2.0,,,,8
P11137,36.0,31.0,6.0,2.0,13.0,,,,,,,5
P26927,19.0,17.0,26.0,29.0,12.0,,1.0,,3.0,,,7
P0C0S5,1.0,2.0,,,,,,,,,,2
P11117,1.0,5.0,9.0,6.0,,1.0,,,,,,5
P06454,1.0,,,1.0,,,,,,,,2
P20231,1.0,2.0,,,,,,,,,,2
A8MWY0,1.0,,,,,,,,,,,1
P80723,27.0,19.0,12.0,20.0,21.0,22.0,4.0,,3.0,,,8
Q15651,1.0,,,,,,,,,,,1
Q8N6G6,3.0,11.0,2.0,,2.0,,,,,,,4
Q15643,1.0,,,1.0,,,,,,,,2
Q15637,1.0,,,,,,,,,,,1
Q15631,2.0,5.0,,,1.0,,,,,,,3
Q0IIM8,1.0,2.0,,,1.0,,,,,,,3
P21399,1.0,,11.0,3.0,,,,,,,,3
Q53H82,1.0,,,,,,,,,,,1
Q6P4E1,9.0,13.0,12.0,9.0,8.0,4.0,2.0,,,,,7
Q75N90,1.0,2.0,,,,,,,,,,2
P48551,1.0,2.0,2.0,3.0,1.0,1.0,,,,,,6
Q00872,1.0,,,1.0,,1.0,,,,,,3
Q8IW52,7.0,4.0,11.0,15.0,4.0,10.0,1.0,7.0,,,,8
P28072,3.0,2.0,,1.0,2.0,1.0,,,,,,5
P28070,2.0,2.0,3.0,1.0,,,,,,,,4
Q9P0M2,1.0,2.0,,,1.0,,,,,,,3
P28066,2.0,2.0,6.0,,,1.0,,,,,,4
P28065,1.0,2.0,,,,,,,,,,2
P21333,66.0,79.0,58.0,49.0,37.0,8.0,,7.0,,,,7
Q9P0P0,1.0,,,,,,,,,,,1
P08887,2.0,2.0,3.0,3.0,1.0,,,,,,,5
Q9P0S2,3.0,3.0,2.0,1.0,2.0,1.0,,,,,,6
Q9P0T7,1.0,,,1.0,,,,,,,,2
Q4G0I0,4.0,4.0,2.0,3.0,2.0,1.0,,,,,,6
Q53GG5,1.0,3.0,3.0,2.0,,,,,,,,4
Q8WW22,3.0,,3.0,2.0,1.0,,,,,,,4
Q8WVQ1,14.0,14.0,22.0,22.0,12.0,17.0,5.0,8.0,4.0,8.0,,10
Q8WW12,3.0,2.0,,,,,,,,,,2
Q99805,1.0,2.0,,,,,,,,,,2
P26885,3.0,4.0,5.0,6.0,1.0,1.0,,,,,,6
Q9P0Z9,1.0,,,,,,,,,,,1
Q8WVN6,1.0,3.0,2.0,2.0,1.0,2.0,,,,,,6
A6NGU5,1.0,3.0,,,,,,,,,,2
P30626,1.0,,2.0,,,,,,,,,2
P06396,78.0,103.0,52.0,140.0,42.0,147.0,24.0,48.0,15.0,70.0,22.0,11
O43583,3.0,3.0,,2.0,,,,,,,,3
P11047,30.0,31.0,43.0,46.0,9.0,20.0,,13.0,7.0,4.0,,9
Q15599,2.0,,,,,,,,,,,1
