ct;ROW;iddisease;Disease;Marker;MarkerID;Score;starCount
7;23775;1307;dementia;SIRT1;Q96EB6;5.379e-01;
1;358176;1307;dementia;SIRT2;Q8IXJ6;9.509e-01;
2;312084;1307;dementia;SIT;Q9Y3P8;1.660e-01;
6;78864;1307;dementia;SKT;Q5T5P2;2.383e-46;
1;25137;1307;dementia;SLC6A4;P31645;6.175e-01;
7;99641;1307;dementia;SNAP;P60880;2.594e-18;
6;46907;1307;dementia;SNAP25;P60880;2.680e-16;
9;27753;1307;dementia;SNCA;P37840;1.253e-21;
1;453536;1307;dementia;SOC;Q5T124;9.885e-01;
1;29761;1307;dementia;SOD1;P00441;5.861e-01;
2;348407;1307;dementia;SORL1;Q92673;2.159e-03;
1;483659;1307;dementia;SPG21;Q9NZD8;5.526e-02;
2;107058;1307;dementia;SPIN;Q9Y657;3.054e-01;
1;399126;1307;dementia;SPTA;P02549;1.234e-01;
4;137183;1307;dementia;SQSTM1;Q13501;2.233e-01;
1;46116;1307;dementia;SRCAP;Q6ZRS2;1.139e-03;
1;296433;1307;dementia;SRR;Q9GZT4;8.150e-01;
4;19763;1307;dementia;SST;P61278;9.754e-07;
1;178700;1307;dementia;STAT;P35610;6.932e-01;
4;170548;1307;dementia;STC;P52823;3.848e-02;
4;170547;1307;dementia;STC1;P52823;6.167e-03;
1;279692;1307;dementia;STG;Q6UXA7;7.039e-01;
1;103438;1307;dementia;STMN2;Q93045;5.526e-02;
1;88668;1307;dementia;STN;Q05639;9.373e-01;
3;5443;1307;dementia;STZ;Q11206;5.943e-01;
2;229019;1307;dementia;SUMO1;P63165;2.159e-03;
4;117386;1307;dementia;SV2A;Q7L0J3;2.952e-09;
5;73494;1307;dementia;SYN;O15061;2.952e-09;
3;139532;1307;dementia;T3D;P04234;1.150e-21;
2;286008;1307;dementia;TACE;P78536;2.531e-01;
4;470663;1307;dementia;TAT;P17735;2.343e-01;
4;145997;1307;dementia;TAU;P10636;8.296e-02;
21;13875;1307;dementia;TBK1;Q9UHD2;5.024e-32;
2;415511;1307;dementia;TCN2;P20062;2.316e-05;
1;3615;1307;dementia;TDF;Q05066;8.571e-01;
145;862;1307;dementia;TDP43;Q13148;9.824e-259;
3;218345;1307;dementia;TES;Q9UGI8;2.895e-05;
1;138367;1307;dementia;TFAP2;P05549;1.139e-03;
2;109259;1307;dementia;TFF3;Q07654;1.000e+00;
1;172173;1307;dementia;THPO;P40225;1.139e-03;
3;44135;1307;dementia;TIMP;P01033;2.300e-02;
3;44134;1307;dementia;TIMP1;P01033;3.394e-02;
1;426039;1307;dementia;TIMP2;P16035;3.069e-01;
2;336378;1307;dementia;TIP;Q8TB96;1.541e-06;
4;260515;1307;dementia;TLR4;O00206;5.032e-01;
4;55812;1307;dementia;TMEM106B;Q9NUM4;1.750e-08;
6;121134;1307;dementia;TNF;P01375;3.204e-02;
5;119122;1307;dementia;TOMM40;O96008;5.328e-29;
28;1209;1307;dementia;TREM2;Q9NZC2;1.908e-96;
2;273314;1307;dementia;TREX1;Q9NSU2;6.833e-01;
3;377228;1307;dementia;TRT;O14746;1.836e-02;
2;212226;1307;dementia;TSP;P07996;5.788e-01;
3;212227;1307;dementia;TSP1;P07996;9.560e-01;
14;184490;1307;dementia;TSPO;B1AH88;1.272e-05;
2;115247;1307;dementia;TST;Q16762;7.753e-01;
6;90729;1307;dementia;TTR;P02766;6.031e-01;
8;252638;1307;dementia;TUG;Q9BZE9;1.139e-37;
1;268839;1307;dementia;TYR;P14679;8.480e-01;
2;268840;1307;dementia;TYROBP;O43914;1.432e-03;
2;487604;1307;dementia;UBB;P0CG47;3.392e-01;
1;401665;1307;dementia;UBC;P0CG48;1.000e+00;
2;294152;1307;dementia;UBQLN2;Q9UHD9;3.719e-01;
1;281286;1307;dementia;UCHL1;P09936;1.000e+00;
2;347622;1307;dementia;UNC5C;O95185;2.898e-04;
6;12188;1307;dementia;VCAM1;P19320;1.000e+00;
8;261547;1307;dementia;VCP;P55072;8.703e-04;
8;136909;1307;dementia;VEGF;P15692;1.342e-09;
1;353252;1307;dementia;VEGFB;P49765;7.039e-01;
3;115425;1307;dementia;VGF;O15240;4.439e-04;
3;138447;1307;dementia;VGLUT1;Q9P2U7;1.150e-21;
1;138472;1307;dementia;VGLUT2;Q9P2U8;8.783e-02;
1;138446;1307;dementia;VIAAT;Q9H598;1.139e-03;
2;103458;1307;dementia;VIM;P08670;4.492e-01;
1;70078;1307;dementia;VIP;P01282;1.000e+00;
1;262009;1307;dementia;VPS4;Q9UN37;1.139e-03;
1;322240;1307;dementia;VRF;P49765;1.603e-01;
4;127471;1307;dementia;VSGP;Q9HCB6;4.714e-11;
8;44348;1307;dementia;VWF;P04275;7.915e-02;
1;463457;1307;dementia;WIF1;Q9Y5W5;1.000e+00;
2;109665;1307;dementia;WNT5A;P41221;2.735e-01;
1;598;1307;dementia;WWOX;Q9NZC7;1.000e+00;



