ct;ROW;iddisease;Disease;Marker;MarkerID;Score;starCount
3;210396;1307;dementia;CXCR7;P25106;3.620e-01;
1;266606;1307;dementia;CYP2C19;P33261;1.000e+00;
1;266607;1307;dementia;CYP2C9;P11712;6.402e-01;
1;266604;1307;dementia;CYP2D6;P10635;1.000e+00;
1;266605;1307;dementia;CYP3A4;P08684;1.000e+00;
2;203355;1307;dementia;DAN;O95453;2.332e-01;
4;23747;1307;dementia;DAP12;O43914;7.560e-18;
1;386771;1307;dementia;DCC;P43146;1.000e+00;
2;314937;1307;dementia;DCD;P81605;2.332e-01;
2;82416;1307;dementia;DCDC2;Q9UHG0;3.054e-01;
1;228113;1307;dementia;DCI;P42126;1.000e+00;
2;18183;1307;dementia;DCN;P07585;2.174e-02;
2;279789;1307;dementia;DEK;P35659;9.829e-01;
2;196018;1307;dementia;DLD;P09622;1.057e-01;
1;214779;1307;dementia;DMA;P28067;7.238e-01;
1;278889;1307;dementia;DMD;P11532;1.043e-03;
11;37123;1307;dementia;DMN;O15061;2.586e-08;
3;178659;1307;dementia;DMT;Q08495;1.876e-04;
2;290463;1307;dementia;DNM2;P50570;1.603e-01;
1;97379;1307;dementia;DNMT;P26358;8.330e-01;
1;97375;1307;dementia;DNMT1;P26358;1.000e+00;
2;178701;1307;dementia;DPP4;P27487;7.571e-01;
6;455230;1307;dementia;DRA;P40879;2.037e-10;
2;120294;1307;dementia;DRD2;P14416;5.803e-01;
1;249211;1307;dementia;DRPLA;P54259;4.338e-01;
4;97480;1307;dementia;DRS;Q9H307;1.047e-14;
1;508444;1307;dementia;DST;Q03001;1.000e+00;
1;132272;1307;dementia;DYRK1A;Q13627;2.703e-01;
1;380320;1307;dementia;E2F1;Q01094;6.197e-01;
3;511516;1307;dementia;EAAT1;P43003;3.487e-13;
1;138473;1307;dementia;EAAT2;P43004;4.035e-01;
1;491492;1307;dementia;EBP;Q15125;9.643e-01;
2;68908;1307;dementia;ECE1;P42892;2.343e-01;
2;68910;1307;dementia;ECE2;P0DPD6;9.433e-03;
2;306423;1307;dementia;EDAR;Q9UNE0;1.432e-04;
2;506038;1307;dementia;EGFR;P00533;7.933e-17;
2;230608;1307;dementia;EPO;P11678;9.752e-02;
2;480338;1307;dementia;ERG;Q12809;2.117e-03;
1;279568;1307;dementia;ERK1;P27361;3.486e-01;
8;132779;1307;dementia;ERP;Q9BY08;2.152e-08;
4;125256;1307;dementia;ERT;P78545;1.027e-01;
1;151114;1307;dementia;ESR;P03372;2.845e-03;
2;427714;1307;dementia;EWSR1;Q01844;7.983e-01;
4;298344;1307;dementia;FADD;Q13158;2.045e-04;
2;284255;1307;dementia;FAM134B;Q9H6L5;6.175e-01;
2;141287;1307;dementia;FAM171A2;A8MVW0;9.433e-03;
2;132343;1307;dementia;FAM19A5;Q7Z5A7;2.812e-02;
2;116193;1307;dementia;FAS;P25445;2.001e-01;
2;292764;1307;dementia;FASL;P48023;5.184e-01;
1;7919;1307;dementia;FASTKD2;Q9NYY8;1.139e-03;
1;163206;1307;dementia;FBP;P09467;6.175e-01;
1;463458;1307;dementia;FBXW8;Q8N3Y1;1.139e-03;
2;324066;1307;dementia;FER;P16591;6.621e-01;
1;392365;1307;dementia;FEV;Q99581;6.463e-01;
3;149141;1307;dementia;FGF23;Q9GZV9;2.892e-02;
2;144080;1307;dementia;FIG4;Q92562;5.526e-02;
2;93327;1307;dementia;FIM;Q9UBW7;1.541e-06;
3;94583;1307;dementia;FISH;Q5TCZ1;2.026e-02;
1;115918;1307;dementia;FLASH;Q9UKL3;8.783e-02;
1;353253;1307;dementia;FLT1;P17948;8.792e-01;
1;353251;1307;dementia;FLT4;P35916;3.054e-01;
3;73510;1307;dementia;FMR1;Q06787;5.845e-02;
1;398675;1307;dementia;FMT;Q96DP5;1.000e+00;
2;255926;1307;dementia;FOP;O95684;5.803e-01;
1;121816;1307;dementia;FOR;Q9NZC7;1.000e+00;
1;166109;1307;dementia;FOXO3;O43524;1.000e+00;
2;349634;1307;dementia;FST;P19883;3.352e-01;
14;220542;1307;dementia;FUS;P35637;1.375e-03;
1;186209;1307;dementia;G6PD;P11413;1.000e+00;
1;516639;1307;dementia;GABAT;P80404;1.139e-03;
3;102378;1307;dementia;GAP43;P17677;1.057e-01;
1;32780;1307;dementia;GAS;P01350;1.000e+00;
16;17812;1307;dementia;GBA;P04062;6.532e-49;
2;143316;1307;dementia;GCA;P28676;7.022e-01;
1;384399;1307;dementia;GCH;P30793;4.035e-01;
6;288599;1307;dementia;GCL;P28676;3.123e-04;
2;457803;1307;dementia;GCSF;P09919;6.702e-01;
7;101050;1307;dementia;GDF15;Q99988;9.376e-01;
2;156935;1307;dementia;GDNF;P39905;3.456e-01;
19;85574;1307;dementia;GFAP;P14136;4.735e-10;
2;74053;1307;dementia;GFR;Q92565;2.568e-03;
29;144059;1307;dementia;GGT;P19440;1.041e-07;
1;106334;1307;dementia;GHR;P10912;1.000e+00;
2;421572;1307;dementia;GK2;Q14410;1.541e-06;
1;319823;1307;dementia;GLP1;P0C6A0;4.700e-01;
3;16041;1307;dementia;GNE;Q9Y223;9.459e-01;
1;123277;1307;dementia;GP9;P14770;9.433e-03;
1;368949;1307;dementia;GPR39;O43194;1.603e-01;
2;159617;12217;Lewy body dementia;GPR78;Q96P69;0;
103;3251;1307;dementia;GRN;P28799;7.267e-290;
4;284320;1307;dementia;GRS;Q16548;5.903e-02;
2;100265;1307;dementia;GSDMD;P57764;6.621e-01;
1;380322;1307;dementia;H2AX;P16104;1.000e+00;
