Protein IDs;Gene name;Protein name;Unique peptides K1.1;Unique peptides K1.2;Unique peptides K1.3;Unique peptides K2.1;Unique peptides K2.2;Unique peptides K2.3;Unique peptides K5.1;Unique peptides K5.2;Unique peptides K5.3;Unique peptides K8.1;Unique peptides K8.2;Unique peptides K8.3;Unique peptides K13.1;Unique peptides K13.2;Unique peptides K13.3;Unique peptides K14.1;Unique peptides K14.2;Unique peptides K14.3;Unique peptides K26.1;Unique peptides K26.2;Unique peptides K26.3;Unique peptides K33.1;Unique peptides K33.2;Unique peptides K33.3;Unique peptides K36.1;Unique peptides K36.2;Unique peptides K36.3;Unique peptides K38.1;Unique peptides K38.2;Unique peptides K38.3;Unique peptides K39.1;Unique peptides K39.2;Unique peptides K39.3;Unique peptides K40.1;Unique peptides K40.2;Unique peptides K40.3;LFQ intensity K1.1;LFQ intensity K1.2;LFQ intensity K1.3;LFQ intensity K2.1;LFQ intensity K2.2;LFQ intensity K2.3;LFQ intensity K5.1;LFQ intensity K5.2;LFQ intensity K5.3;LFQ intensity K8.1;LFQ intensity K8.2;LFQ intensity K8.3;LFQ intensity K13.1;LFQ intensity K13.2;LFQ intensity K13.3;LFQ intensity K14.1;LFQ intensity K14.2;LFQ intensity K14.3;LFQ intensity K26.1;LFQ intensity K26.2;LFQ intensity K26.3;LFQ intensity K33.1;LFQ intensity K33.2;LFQ intensity K33.3;LFQ intensity K36.1;LFQ intensity K36.2;LFQ intensity K36.3;LFQ intensity K38.1;LFQ intensity K38.2;LFQ intensity K38.3;LFQ intensity K39.1;LFQ intensity K39.2;LFQ intensity K39.3;LFQ intensity K40.1;LFQ intensity K40.2;LFQ intensity 40.3
P00738;HP;Haptoglobin;9;9;10;7;9;9;7;7;9;8;6;7;7;8;7;9;9;10;8;9;7;8;9;7;9;9;8;8;8;10;7;8;7;8;8;9;816060000;577220000;761660000;815990000;792720000;701420000;378100000;338780000;399800000;598200000;730560000;922850000;390470000;353220000;437420000;2356400000;2286500000;2635100000;628260000;644380000;568860000;1369600000;1776500000;1315900000;822520000;882500000;725080000;1110100000;1498800000;1761700000;364280000;476830000;465460000;4891600000;4599800000;882710000
P00739;HPR;Haptoglobin-related protein;1;0;0;1;1;1;2;1;0;0;0;1;1;0;1;2;2;2;1;1;1;2;3;2;2;2;2;0;0;2;0;1;1;2;2;2;0;0;0;0;0;0;3341400;0;0;0;0;0;0;0;0;5995600;6144200;5996400;0;0;0;6194200;7253400;5991300;4692300;3694200;3572000;0;0;3038100;0;0;0;8223700;7010500;3695000
P00740;F9;Coagulation factor IX;3;3;1;4;4;2;3;3;4;1;2;0;1;2;2;5;2;3;1;1;2;6;5;5;5;4;3;5;4;4;2;5;6;5;5;4;4641300;5460000;0;4863600;4319100;4070300;5162800;4707400;4969400;0;3528700;0;0;3644900;4149500;4875000;3898500;4539700;0;0;3761700;9108000;7424800;7040000;7273300;5293100;6812700;5672700;6249000;6738600;6504500;6434500;7338000;8395100;7834700;5294300
P00742;F10;Coagulation factor X;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;3055500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P00746;CFD;Complement factor D;7;7;8;7;7;6;7;8;7;8;7;7;8;8;8;7;7;8;7;8;8;8;9;8;8;7;7;7;7;8;8;8;8;7;7;7;61073000;68865000;61229000;37918000;45252000;32921000;88990000;86933000;80580000;33680000;37005000;26977000;71752000;55542000;62581000;57789000;59054000;62625000;52818000;48984000;51309000;61973000;69077000;65401000;99573000;85019000;98886000;39635000;33997000;40245000;72799000;64206000;66571000;45858000;60387000;85039000
P00747;PLG;Plasminogen;23;23;25;23;24;22;27;24;24;24;24;23;24;24;23;23;23;24;23;23;23;26;27;24;24;25;24;27;23;25;24;25;24;23;25;25;904680000;710110000;733200000;578790000;480570000;421530000;831910000;797780000;804160000;444120000;476440000;545020000;553620000;587440000;583010000;737090000;768020000;673980000;564180000;606610000;513130000;914460000;914830000;964240000;785950000;771000000;704590000;635540000;629450000;635790000;977160000;1050000000;965890000;1091500000;994380000;771180000
P00748;F12;Coagulation factor XII;7;9;7;6;6;6;6;6;7;6;5;6;6;7;7;7;7;9;7;7;7;7;7;8;7;7;5;6;6;6;6;8;7;7;8;7;86546000;68925000;70263000;58993000;43316000;49343000;41246000;34477000;34119000;41946000;44600000;52670000;38032000;34351000;36763000;72490000;82319000;87077000;56491000;53555000;47598000;80659000;81111000;91750000;35205000;32605000;37499000;36596000;34216000;40048000;62529000;66615000;59745000;94601000;88059000;32613000
P00751;CFB;Complement factor B;14;17;22;13;15;17;15;12;15;14;15;12;14;14;15;19;19;17;15;18;12;14;16;14;17;17;14;16;15;16;17;17;16;18;17;17;582490000;482250000;491490000;407690000;381500000;366840000;424680000;401160000;389680000;362580000;348470000;426750000;315370000;322200000;355250000;579660000;613800000;570740000;363330000;380120000;316530000;524890000;532230000;547570000;553470000;553220000;516190000;512710000;584940000;518200000;719400000;690330000;640430000;681660000;665950000;553350000
P01008;SERPINC1;Antithrombin-III;14;18;17;15;15;16;13;13;16;16;14;13;17;14;15;15;16;18;14;16;15;15;18;17;18;16;16;14;14;16;13;17;19;16;17;16;550790000;556890000;596680000;468700000;425140000;427610000;413240000;430110000;487860000;337320000;378900000;437420000;478720000;512400000;523360000;712200000;650580000;634240000;438390000;480090000;428650000;704610000;692140000;536030000;724090000;703170000;581600000;423820000;403660000;468850000;759560000;708890000;634120000;788610000;755860000;703340000
P01009;SERPINA1;Alpha-1-antitrypsin;20;22;22;20;20;20;19;18;20;20;19;21;22;21;22;22;22;21;20;19;20;22;22;22;22;22;22;22;22;23;22;21;22;22;22;22;7299300000;7918600000;7401300000;4841200000;5466800000;4746000000;4309400000;4003400000;4869700000;2388700000;2170600000;2376000000;4604400000;5312600000;5919900000;9622900000;9262300000;8922400000;5139600000;6419800000;5085500000;6453400000;8293700000;7009800000;8126300000;9875800000;7196100000;6915700000;7137800000;8234400000;8207400000;8985300000;8899300000;10702000000;11395000000;9878100000
P01011;SERPINA3;Alpha-1-antichymotrypsin;12;14;13;12;14;14;14;12;13;14;12;11;15;12;15;13;13;17;14;12;13;13;13;13;14;14;13;14;14;14;12;15;13;14;13;14;1170500000;866260000;811310000;838080000;697100000;757070000;915950000;959200000;961440000;664200000;681010000;686390000;705140000;743790000;846890000;1131600000;1204900000;1121100000;756390000;853040000;696660000;932290000;939270000;977500000;1109700000;1173400000;1087600000;902160000;881380000;1002200000;945850000;1191700000;1252900000;1088400000;1106400000;1173700000
P01019;AGT;Angiotensinogen;15;14;15;14;15;16;15;12;14;15;14;14;16;14;15;15;15;16;15;15;14;15;16;15;15;15;14;14;13;15;15;16;16;15;15;15;892810000;1428800000;1468800000;1447200000;2371800000;1785600000;1560600000;1127100000;1446100000;1901400000;1786000000;1615000000;1299000000;1429900000;1381500000;1482200000;1531400000;1792900000;1661600000;1667500000;1450000000;1253700000;1256200000;827660000;1385000000;1520000000;1464800000;1371100000;1650900000;1528700000;1691900000;1198900000;1139200000;1654500000;1593800000;1520400000
