Protein IDs;Gene name;Protein name;Unique peptides K1.1;Unique peptides K1.2;Unique peptides K1.3;Unique peptides K2.1;Unique peptides K2.2;Unique peptides K2.3;Unique peptides K5.1;Unique peptides K5.2;Unique peptides K5.3;Unique peptides K8.1;Unique peptides K8.2;Unique peptides K8.3;Unique peptides K13.1;Unique peptides K13.2;Unique peptides K13.3;Unique peptides K14.1;Unique peptides K14.2;Unique peptides K14.3;Unique peptides K26.1;Unique peptides K26.2;Unique peptides K26.3;Unique peptides K33.1;Unique peptides K33.2;Unique peptides K33.3;Unique peptides K36.1;Unique peptides K36.2;Unique peptides K36.3;Unique peptides K38.1;Unique peptides K38.2;Unique peptides K38.3;Unique peptides K39.1;Unique peptides K39.2;Unique peptides K39.3;Unique peptides K40.1;Unique peptides K40.2;Unique peptides K40.3;LFQ intensity K1.1;LFQ intensity K1.2;LFQ intensity K1.3;LFQ intensity K2.1;LFQ intensity K2.2;LFQ intensity K2.3;LFQ intensity K5.1;LFQ intensity K5.2;LFQ intensity K5.3;LFQ intensity K8.1;LFQ intensity K8.2;LFQ intensity K8.3;LFQ intensity K13.1;LFQ intensity K13.2;LFQ intensity K13.3;LFQ intensity K14.1;LFQ intensity K14.2;LFQ intensity K14.3;LFQ intensity K26.1;LFQ intensity K26.2;LFQ intensity K26.3;LFQ intensity K33.1;LFQ intensity K33.2;LFQ intensity K33.3;LFQ intensity K36.1;LFQ intensity K36.2;LFQ intensity K36.3;LFQ intensity K38.1;LFQ intensity K38.2;LFQ intensity K38.3;LFQ intensity K39.1;LFQ intensity K39.2;LFQ intensity K39.3;LFQ intensity K40.1;LFQ intensity K40.2;LFQ intensity 40.3
P04196;HRG;Histidine-rich glycoprotein;11;13;10;11;11;12;13;12;11;12;11;9;13;13;13;12;12;13;13;12;11;11;12;12;13;13;13;13;11;12;13;12;13;10;13;13;296050000;341180000;309350000;163720000;175470000;233830000;264090000;195560000;217630000;209630000;258300000;294890000;233740000;220610000;248130000;333200000;313780000;371760000;257160000;252850000;213490000;358250000;435380000;399310000;263910000;268010000;201990000;235990000;210710000;229010000;257890000;259370000;271460000;390710000;370840000;268070000
P04216;THY1;Thy-1 membrane glycoprotein;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;165910000;167660000;169660000;276690000;241150000;218490000;186990000;159510000;145600000;307380000;263390000;229540000;225890000;221200000;205130000;144910000;143250000;131720000;264960000;249330000;245570000;130010000;123040000;131420000;132890000;166270000;133400000;165350000;191830000;172820000;134540000;124430000;103660000;109030000;105830000;166310000
P04217;A1BG;Alpha-1B-glycoprotein;14;17;16;14;13;14;16;13;16;16;14;14;16;16;15;17;17;17;16;17;16;16;16;14;17;16;14;17;16;16;17;16;17;17;17;16;546480000;588070000;635650000;433010000;476610000;529950000;509330000;390340000;537720000;402610000;402960000;412490000;412810000;473030000;488750000;685380000;595350000;629070000;478140000;612990000;539900000;812440000;780230000;618590000;612580000;635640000;513510000;642090000;605130000;672640000;895180000;969220000;890840000;908030000;1066100000;635790000
P04275;VWF;von Willebrand factor;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2902600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3109100;0;0;0;0;0;0;0
P04278;SHBG;Sex hormone-binding globulin;0;0;1;1;1;1;1;1;1;1;1;2;2;0;3;1;2;4;2;2;1;1;1;1;1;1;0;1;0;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;2149400;2071900;0;4190100;0;5764700;6039500;0;1882700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2240400;0
P04406;GAPDH;Glyceraldehyde-3-phosphate dehydrogenase;3;5;5;6;5;5;4;4;6;6;5;6;6;5;6;5;6;6;5;6;6;4;5;5;6;6;5;6;6;6;6;5;5;5;5;6;21219000;22438000;27415000;38171000;48672000;44684000;16380000;20326000;29465000;69834000;62397000;62866000;17054000;24016000;19526000;28729000;28895000;27900000;31492000;30840000;48136000;15837000;13952000;17685000;29513000;28880000;35204000;28000000;29481000;34916000;22150000;18543000;19162000;24144000;26875000;28887000
P04430;IGKV1-16;Ig kappa chain V-I region BAN;1;1;0;1;1;0;2;2;2;0;0;0;0;0;0;2;0;0;2;2;1;0;0;0;2;2;2;2;1;2;1;2;1;1;2;2;0;0;0;0;0;0;3757300;4920400;4540300;0;0;0;0;0;0;2471900;0;0;4199200;3852700;0;0;0;0;6763800;4435300;5694500;3261000;0;2841500;0;2085200;0;0;3384300;4436200
P04433;IGKV3-11;Ig kappa chain V-III region VG;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;62259000;52059000;43101000;32950000;29817000;14056000;75573000;78617000;60611000;22535000;26486000;27790000;23124000;0;24368000;52949000;64817000;53724000;48183000;54428000;45832000;52862000;54648000;50627000;75138000;58982000;61188000;83364000;85385000;89695000;46150000;46932000;44389000;88887000;79122000;58996000
P05060;CHGB;Secretogranin-1;11;13;15;15;13;15;11;11;12;15;16;14;16;16;15;12;13;13;15;14;13;14;13;13;11;12;11;15;13;14;12;11;11;10;10;12;899930000;733950000;745890000;1134000000;1239000000;982120000;899530000;958680000;989830000;1177800000;1122100000;1139700000;1510000000;1488100000;1267800000;903490000;978210000;899410000;791050000;961430000;886410000;1082300000;869450000;927030000;517530000;637880000;626850000;998130000;1330400000;992810000;940330000;765090000;858670000;534500000;494460000;638030000
P05067;APP;Amyloid beta A4 protein;11;12;12;14;14;15;14;12;13;16;14;14;14;13;13;13;14;14;14;15;13;13;13;10;13;14;13;14;12;14;12;13;11;12;13;14;258720000;260210000;230910000;646760000;542740000;502690000;346770000;288420000;261880000;769240000;813770000;736670000;351910000;302860000;304320000;269540000;268840000;235010000;471610000;466630000;507660000;261950000;224210000;275520000;242820000;285390000;301980000;353340000;335180000;317930000;185710000;182530000;175310000;265000000;215330000;285460000
P05090;APOD;Apolipoprotein D;4;5;9;4;5;5;4;5;5;5;5;4;5;4;6;5;5;6;5;5;5;5;5;5;6;5;5;5;5;5;5;6;6;6;5;5;3098800000;2680900000;2457700000;2170600000;1728100000;1758400000;2265500000;2355400000;2301200000;1694800000;1800900000;1592800000;2304200000;1697800000;1883000000;1934600000;1690300000;1872700000;1620800000;1622100000;1860600000;1860700000;1924500000;1955800000;2626600000;2174600000;2755100000;1889900000;1718100000;1865800000;2537200000;2502400000;2301300000;2824400000;2645400000;2175100000
P05154;SERPINA5;Plasma serine protease inhibitor;5;5;5;4;7;5;6;3;4;4;5;5;7;5;6;6;6;6;5;6;4;7;7;6;5;4;6;6;6;5;5;6;6;6;6;4;34649000;27432000;19995000;32918000;30245000;25248000;34658000;39725000;39023000;13022000;13542000;14978000;16110000;16254000;14827000;28376000;31848000;22933000;18854000;19264000;19879000;47796000;30473000;29243000;22144000;22027000;31725000;18873000;15499000;14731000;29791000;37050000;36313000;29157000;23953000;22032000
P05155;SERPING1;Plasma protease C1 inhibitor;11;12;9;11;8;11;12;12;10;10;11;10;14;11;13;12;12;11;10;12;9;12;13;11;11;12;12;11;10;13;10;14;12;12;13;12;391420000;437920000;457000000;338340000;400410000;310050000;387160000;403450000;430680000;416700000;410400000;346670000;421050000;438590000;503080000;475860000;371140000;415480000;336810000;413920000;324600000;435350000;440980000;432140000;522790000;461820000;489130000;382990000;405460000;384750000;552850000;599340000;522550000;479000000;552410000;461930000
P05156;CFI;Complement factor I;7;9;9;11;9;10;9;10;9;9;7;8;7;9;10;9;11;10;10;9;7;9;11;9;10;9;7;10;8;11;7;11;9;10;9;9;101140000;84837000;77451000;96334000;77905000;69960000;79691000;97923000;86015000;61747000;56628000;65020000;60041000;66929000;64839000;97126000;104720000;77023000;61398000;68067000;63032000;111620000;97915000;116980000;103130000;104390000;80889000;85187000;79690000;88084000;97127000;99473000;113250000;113460000;113080000;104420000
P05160;F13B;Coagulation factor XIII B chain;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;2;1;0;0;0;1;2;0;1;0;0;2;1;1;1;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1143100;0;0;0;0;0;1371000;0;0;0;0;0;0;0;0;0;920160;0;0;0;0
P05408;SCG5;Neuroendocrine protein 7B2;2;2;4;5;3;3;4;4;4;4;3;3;5;4;3;2;2;3;5;3;4;1;4;4;2;2;2;3;1;4;2;1;3;1;1;2;46023000;52580000;34315000;80937000;59056000;60341000;46063000;54819000;44576000;77352000;79705000;68566000;76541000;58315000;54096000;26407000;40492000;34328000;68707000;48278000;64708000;29529000;43734000;45450000;30262000;38497000;33014000;47932000;37538000;42490000;51924000;30201000;33064000;22586000;18780000;38506000
P05413;FABP3;Fatty acid-binding protein, heart;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1760600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P05452;CLEC3B;Tetranectin;6;6;6;7;8;7;8;7;7;8;7;7;8;8;8;8;6;8;7;8;6;7;8;7;8;7;7;7;5;7;7;7;6;7;6;7;220190000;185580000;199040000;200140000;216040000;179680000;267170000;326650000;288610000;278490000;277040000;291800000;384720000;383300000;384790000;179250000;183140000;186810000;240080000;225000000;260060000;254880000;231760000;262060000;263710000;210410000;242250000;235220000;253810000;224530000;254600000;218220000;279040000;243840000;261420000;210460000
P05543;SERPINA7;Thyroxine-binding globulin;3;4;5;5;5;8;3;1;4;6;5;6;2;4;5;4;4;4;3;6;3;5;3;2;4;6;5;4;4;6;4;3;4;3;8;6;35150000;36754000;39725000;24449000;31377000;46932000;22456000;0;29466000;24318000;25415000;31175000;20775000;26817000;34782000;43024000;33910000;38135000;22084000;32042000;31768000;30544000;46314000;21742000;38831000;35775000;22754000;31051000;30343000;26525000;44923000;35996000;26434000;48906000;49262000;35783000
P05546;SERPIND1;Heparin cofactor 2;7;9;7;9;9;8;9;6;8;10;9;10;9;9;8;8;10;9;9;8;9;9;10;11;9;10;10;10;7;11;9;9;10;9;9;10;97719000;67470000;68408000;70520000;70211000;63673000;90015000;88344000;78563000;51941000;72441000;66012000;56451000;66759000;70334000;83111000;90659000;84156000;61982000;57884000;57711000;91464000;88228000;90558000;76671000;77940000;59215000;65367000;67811000;67541000;87609000;79969000;83756000;93531000;86773000;77958000
P05937;CALB1;Calbindin;0;0;0;0;1;0;1;0;0;2;0;1;1;2;0;0;0;1;2;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3789400;0;0;0;3484000;0;0;0;0;3433500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P06276;BCHE;Cholinesterase;0;2;1;1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;1;1;0;1;1;1;2;0;1;1;2;1;0;1592000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1779400;0;0;0;1729200;0
P06312;IGKV4-1;Ig kappa chain V-IV region;3;2;2;3;2;2;2;1;2;2;2;2;2;2;2;3;3;2;3;2;2;2;3;2;3;3;3;3;3;1;2;2;2;3;3;3;17041000;14119000;16535000;8916100;8887800;10636000;16801000;0;14186000;4148600;5887500;7063600;7373900;9812200;10463000;21393000;22197000;19410000;18160000;18267000;13513000;7150000;12809000;11178000;19547000;17709000;14548000;10833000;12714000;0;20639000;20897000;19834000;26135000;28148000;17714000
P06331;IGHV4-34;Ig heavy chain V-II region ARH-77;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;2;30200000;29394000;29381000;25029000;22576000;12662000;15544000;20183000;0;11794000;13973000;9336500;12450000;12977000;11955000;27765000;26501000;25338000;17891000;19817000;0;30853000;28686000;24683000;49992000;38467000;33835000;35948000;45533000;39639000;35736000;27993000;22833000;33327000;29779000;38476000
P06396;GSN;Gelsolin;9;11;15;11;10;9;10;10;11;10;9;9;14;11;11;12;12;12;12;11;9;10;12;9;13;10;13;13;11;11;10;12;13;12;13;10;2148200000;2264000000;1658100000;2143400000;1777700000;1736900000;1722600000;1578400000;1529400000;1739500000;1744600000;1310700000;2126100000;1936100000;1957700000;1839500000;2120800000;2034300000;1977300000;1757900000;1873700000;1884400000;1715400000;1715900000;2461200000;2043300000;2323100000;1821900000;1364700000;1565800000;1715700000;2153500000;2115600000;2220400000;2433500000;2043800000
P06681;C2;Complement C2;8;11;9;9;8;4;7;6;7;8;6;5;10;10;8;13;11;12;8;9;7;12;10;9;11;9;10;9;10;11;10;11;10;13;10;9;51692000;36257000;35138000;28587000;24338000;18791000;29857000;28730000;28624000;21713000;21129000;24137000;29630000;34622000;31540000;41482000;38220000;36276000;26610000;30850000;25112000;33600000;35402000;36297000;38701000;39881000;32635000;27894000;26293000;30503000;42108000;42517000;41832000;40912000;40415000;39890000
P06727;APOA4;Apolipoprotein A-IV;17;17;15;15;16;13;15;15;17;16;17;15;15;17;18;15;16;18;15;15;16;17;16;17;15;14;16;16;14;15;17;16;18;17;16;14;396270000;453360000;366710000;287040000;257270000;209040000;275990000;278600000;385850000;407170000;471020000;395060000;403240000;482820000;448230000;573900000;435440000;510550000;335630000;334550000;373220000;658920000;538050000;507320000;371490000;307160000;462040000;441550000;320240000;374160000;807230000;897930000;837000000;508280000;370270000;307240000
P06733;ENO1;Alpha-enolase;1;0;0;2;2;3;2;1;0;3;4;3;0;0;1;0;1;0;2;2;1;0;0;1;0;1;0;0;3;2;0;1;0;0;0;1;0;0;0;5955800;10541000;6448300;6276500;0;0;7913000;7102900;8590500;0;0;0;0;0;0;4812200;6908000;0;0;0;0;0;0;0;0;7950600;0;0;0;0;0;0;0
P06744;GPI;Glucose-6-phosphate isomerase;0;0;0;0;1;0;1;0;1;3;0;2;0;1;0;0;0;1;2;1;2;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1666400;0;2017200;0;0;0;0;0;0;1368900;0;1704600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P06865;HEXA;Beta-hexosaminidase subunit alpha;1;0;1;2;2;1;0;0;0;2;1;1;0;0;0;1;1;1;2;1;1;0;1;1;1;0;2;1;1;1;1;1;1;1;2;0;0;0;0;0;5533900;0;0;0;0;4053900;0;0;0;0;0;0;0;0;5322500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P07195;LDHB;L-lactate dehydrogenase B chain;3;3;3;4;4;3;4;2;2;4;5;4;5;3;3;4;1;3;2;4;4;3;4;2;2;3;1;5;1;4;3;4;3;2;2;3;7962800;12919000;14056000;12690000;20084000;34937000;12549000;15081000;13978000;13610000;17077000;16517000;19635000;21069000;17568000;13306000;0;13758000;13459000;16996000;17765000;12383000;13315000;6049100;8719300;13887000;0;12815000;0;21489000;18193000;9976300;18395000;16341000;7875500;13890000
P07225;PROS1;Vitamin K-dependent protein S;11;11;10;12;11;12;13;12;11;12;12;11;11;11;12;9;10;11;11;10;11;12;11;11;12;11;11;12;10;12;11;12;10;11;10;11;143920000;112340000;116950000;101500000;78192000;82902000;119990000;136900000;123940000;115530000;113920000;95289000;120950000;108770000;117330000;111960000;100730000;101520000;105600000;113450000;120740000;125950000;110880000;116840000;141580000;118590000;127460000;119500000;133960000;126010000;117270000;123620000;120620000;119190000;107590000;118610000
P07333;CSF1R;Macrophage colony-stimulating factor 1 receptor;3;4;3;4;4;5;3;1;3;5;4;4;6;4;4;3;3;3;2;3;2;5;3;2;3;5;3;5;4;5;4;3;3;4;3;5;29042000;36346000;32205000;18369000;21415000;36207000;24404000;0;15936000;38524000;37509000;42429000;46625000;36699000;35633000;27802000;33765000;27909000;32223000;35701000;31964000;33196000;23114000;17849000;20616000;35456000;19894000;34985000;33680000;34071000;27422000;22681000;24642000;25463000;18211000;35465000
P07339;CTSD;Cathepsin D;10;9;9;11;10;9;9;9;11;10;12;10;11;11;11;9;9;8;11;11;11;11;11;9;10;11;10;10;9;12;9;8;10;9;9;11;105650000;94301000;87402000;133540000;108740000;98912000;126790000;127870000;114870000;134140000;111800000;99629000;98060000;89466000;99017000;106640000;84164000;93907000;111480000;113370000;108960000;114490000;104940000;111560000;121640000;116820000;114100000;111690000;117450000;111440000;71433000;80662000;75597000;88109000;64149000;116850000
P07357;C8A;Complement component C8 alpha chain;3;4;2;3;4;4;4;2;2;2;2;2;2;2;2;5;4;5;2;4;2;7;6;4;6;4;3;4;2;2;2;1;4;4;4;4;18009000;11143000;13911000;14570000;12223000;11769000;10153000;15739000;11971000;9289200;9591700;10929000;6131100;10944000;13553000;10681000;13669000;10083000;11655000;7889200;10192000;15384000;13649000;21143000;13120000;10976000;10710000;10978000;18101000;9955000;14598000;0;14181000;14615000;12656000;10978000
P07358;C8B;Complement component C8 beta chain;8;7;4;5;3;3;6;5;3;3;2;5;5;3;5;8;7;10;3;3;3;9;10;8;8;7;5;7;5;9;4;6;7;8;10;7;27653000;21815000;15456000;13189000;11575000;9441000;16954000;12826000;16847000;7505900;8192400;12064000;15210000;11649000;13311000;20176000;18063000;22705000;13546000;12689000;14363000;26163000;27117000;27438000;23096000;18371000;21265000;24142000;16461000;17749000;22574000;21855000;21629000;26557000;27072000;18376000
P07360;C8G;Complement component C8 gamma chain;6;6;5;6;6;5;6;5;6;2;4;5;6;5;5;6;6;7;6;6;6;5;6;6;6;6;5;5;6;6;6;5;6;6;5;6;51126000;38032000;36481000;33983000;25174000;27613000;33929000;41811000;35091000;13564000;18392000;23841000;30969000;29343000;37124000;47884000;49370000;46319000;31320000;33238000;27226000;47882000;55380000;56217000;47823000;43730000;41657000;36427000;42043000;41235000;59418000;58831000;41801000;54712000;51365000;43741000
P07585;DCN;Decorin;3;5;1;4;4;3;3;2;3;3;2;3;2;1;2;2;3;4;5;3;3;2;5;4;5;4;4;3;3;3;3;5;4;4;3;4;9109300;9135100;0;10938000;11360000;16193000;11416000;7789200;13348000;14335000;13450000;14096000;9341900;0;8459600;10204000;13447000;9446400;14492000;10542000;12531000;8128300;6964800;8271200;11571000;11627000;12801000;12076000;13119000;13564000;8859500;10931000;10216000;8822000;10334000;11630000
P07602;PSAP;Prosaposin;6;8;7;9;9;9;9;6;8;9;7;7;9;8;8;7;9;9;9;8;9;8;7;7;8;8;7;8;6;9;5;7;7;7;8;8;92891000;82725000;83241000;151550000;171180000;109730000;97460000;109900000;87029000;161330000;172620000;151930000;91924000;101150000;98038000;101490000;107840000;91618000;130900000;135540000;134670000;83716000;82812000;77541000;107220000;92109000;113240000;111690000;161800000;108760000;104410000;89609000;75217000;96779000;80137000;92131000
P07686;HEXB;Beta-hexosaminidase subunit beta;2;3;2;3;4;3;3;1;3;4;4;3;1;1;3;1;1;1;4;4;4;3;2;3;3;3;3;4;4;2;1;3;3;2;3;3;8505300;6607400;6932900;15464000;13695000;8190600;6706100;0;6636400;13520000;12202000;9277600;0;0;7293100;0;0;0;10636000;10237000;11403000;7097200;6860000;6947700;9497600;9402400;9108400;9424000;10283000;9605000;0;5508700;5017800;7747500;6045500;9404600
P07711;CTSL;Cathepsin L1;2;1;0;3;2;2;1;1;1;2;3;2;2;1;1;1;2;3;2;2;3;0;1;2;2;3;2;1;2;1;1;0;1;2;1;3;16611000;0;0;23730000;24726000;0;0;0;0;21487000;22772000;18264000;0;0;0;0;13624000;15950000;19953000;25113000;20517000;0;0;15126000;17020000;15946000;16519000;0;16721000;0;0;0;0;18056000;0;15949000
P07737;PFN1;Profilin-1;2;2;2;2;2;0;2;2;2;3;3;0;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;2;2;1;2;6224700;4224000;5178700;4896700;5429900;0;6787300;7650600;7040300;4902700;4918200;0;6081800;0;5336300;5979000;5106100;4231000;7622300;6022700;6322300;6385200;4563200;5548700;4161500;5022700;4714800;6061300;6077900;6269100;6892100;6835400;5408900;4175000;0;5023900
P07858;CTSB;Cathepsin B;3;2;1;4;3;4;4;3;3;5;4;4;6;4;4;3;3;2;5;3;5;3;3;3;2;4;2;2;4;4;3;1;1;1;3;4;14888000;15012000;0;21493000;17390000;23350000;17692000;21322000;14900000;23949000;25064000;22688000;21872000;23907000;23247000;6690500;11887000;0;23802000;22593000;23460000;14172000;13115000;15740000;13941000;18822000;12976000;17715000;22231000;20608000;11883000;0;0;0;17457000;18826000
P07942;LAMB1;Laminin subunit beta-1;1;0;0;3;2;2;1;0;1;6;7;2;5;5;3;1;1;1;3;4;3;1;0;1;2;2;2;2;2;2;0;2;1;1;1;2;0;0;0;3274400;3620700;2283200;0;0;0;3870900;4137200;2571500;2999300;3253400;3012000;0;0;0;2970200;3099500;2890100;0;0;0;1952400;2650600;2558800;2661300;2954700;2754600;0;0;0;0;0;2651200
P07998;RNASE1;Ribonuclease pancreatic;2;3;3;3;3;2;3;3;3;3;3;2;3;3;3;2;3;2;2;3;3;3;3;3;3;3;3;3;2;3;2;3;3;1;1;3;112650000;134070000;182580000;117790000;69729000;96410000;128050000;115760000;141160000;139540000;117530000;67590000;230130000;187160000;166920000;170700000;106150000;134250000;159900000;144770000;94698000;147660000;145750000;138580000;121120000;139140000;95725000;95958000;82389000;105010000;189660000;158170000;158720000;78955000;0;139170000
P08123;COL1A2;Collagen alpha-2(I) chain;6;5;4;4;3;2;5;5;8;6;4;2;8;5;6;6;4;7;5;6;6;5;7;6;6;7;7;6;3;5;4;5;6;6;5;7;22927000;19942000;18481000;16086000;11776000;8651100;23037000;24929000;22648000;18271000;15873000;14692000;22526000;22537000;18483000;21305000;20231000;17320000;22759000;19720000;19855000;22252000;21285000;22582000;19359000;21529000;19931000;19089000;18633000;19976000;20548000;16616000;17246000;17961000;16914000;21534000
P08174;CD55;Complement decay-accelerating factor;2;3;3;4;4;5;3;3;3;5;5;3;6;5;5;3;3;2;5;3;4;4;2;4;2;2;3;4;5;3;2;2;3;3;1;2;18745000;14326000;15617000;19405000;21284000;17722000;16034000;16615000;17639000;23697000;23409000;27989000;27831000;26080000;21740000;12250000;12654000;13040000;17465000;17660000;14841000;13782000;15993000;14428000;10320000;13492000;12913000;16476000;21721000;17862000;19471000;13331000;12116000;12123000;0;13495000
P08185;SERPINA6;Corticosteroid-binding globulin;2;3;4;3;3;3;3;3;2;3;3;3;4;3;3;3;5;3;3;3;4;3;4;3;4;4;3;3;3;2;3;5;4;3;3;4;40040000;47500000;40778000;35630000;23962000;24542000;37401000;25218000;37369000;24190000;25619000;28321000;33674000;39958000;37645000;51133000;41113000;41537000;31703000;38556000;33215000;53620000;44252000;30397000;52638000;43380000;43505000;34208000;31654000;31155000;56616000;57847000;47573000;52277000;50172000;43390000
P08195;SLC3A2;4F2 cell-surface antigen heavy chain;1;2;1;1;1;0;1;1;0;0;3;0;2;3;2;1;1;0;1;2;1;1;0;1;1;1;1;1;2;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2875000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P08253;MMP2;72 kDa type IV collagenase;8;9;7;8;8;10;9;8;11;12;10;8;11;9;12;9;9;10;11;9;9;10;8;10;11;10;10;14;11;14;8;11;9;10;10;10;30187000;27471000;23397000;30238000;25241000;29635000;36363000;38596000;34961000;34144000;31569000;35583000;34074000;35251000;36402000;38687000;38982000;30622000;34545000;34467000;32865000;30142000;30011000;34508000;39681000;37901000;40809000;38365000;41895000;39704000;35616000;34422000;35610000;37308000;40289000;37910000
P08294;SOD3;Extracellular superoxide dismutase [Cu-Zn];7;6;5;6;6;6;6;7;6;5;5;5;7;7;7;3;5;5;4;4;5;5;5;5;7;7;7;7;7;5;5;5;6;5;4;7;171900000;161410000;156950000;105230000;129050000;124340000;166770000;214500000;174730000;179270000;147700000;137750000;165870000;157650000;186090000;171940000;130020000;140040000;140660000;123630000;127170000;154530000;142780000;162360000;199960000;199760000;247690000;180820000;229490000;192300000;179520000;142290000;125400000;165070000;145850000;199810000
P08571;CD14;Monocyte differentiation antigen CD14;6;9;8;6;6;6;8;7;8;8;8;7;8;8;8;8;8;8;7;8;8;8;6;6;8;8;4;8;7;8;8;8;8;8;8;8;114930000;122770000;136900000;106510000;159900000;139110000;156380000;124760000;156380000;119710000;160880000;133030000;143610000;171900000;150730000;145330000;127750000;157510000;133540000;141170000;165020000;119090000;157220000;79973000;131220000;119040000;150050000;141880000;157270000;134320000;132700000;132130000;138400000;134840000;171150000;119070000
P08603;CFH;Complement factor H;40;45;42;41;36;36;43;40;41;41;42;39;42;43;42;39;42;39;41;42;39;41;44;43;44;41;43;44;44;43;36;41;40;42;41;41;1323800000;1239700000;1227400000;960090000;893960000;771650000;1266900000;1280300000;1335000000;1028000000;948240000;982390000;1197800000;1208900000;1212400000;1224800000;1149900000;1053100000;1071100000;1156400000;1121400000;1335600000;1232600000;1359300000;1422000000;1247800000;1218100000;1248900000;1343300000;1235900000;1252800000;1174500000;1283300000;1392400000;1329000000;1248100000
P08670;VIM;Vimentin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6093400;0;0;0;4865200;0;0;0;0;0;6094800
P08697;SERPINF2;Alpha-2-antiplasmin;7;12;10;9;10;10;10;8;11;8;8;9;11;10;9;12;11;12;9;11;9;11;12;10;11;11;10;11;9;12;11;13;11;10;12;11;203220000;187580000;173080000;124560000;136040000;139530000;153430000;135190000;158970000;104450000;116470000;110630000;137120000;150490000;139320000;193630000;166340000;190380000;127990000;154810000;149800000;196330000;200240000;213570000;246850000;199750000;183210000;155410000;129320000;130220000;197920000;213520000;240980000;221930000;199070000;199800000
P09104;ENO2;Gamma-enolase;2;1;2;3;3;6;5;2;1;5;2;3;4;2;3;3;2;2;5;4;3;2;3;3;1;3;1;3;2;3;3;3;1;1;1;3;6535100;0;4853400;6434400;7052900;10248000;5157000;5612700;9402700;12781000;8429100;12173000;6948700;8432600;8848500;8800000;5544200;12990000;7209100;8832600;7464300;5415900;7537300;7210400;0;4622100;0;10715000;7943400;9262000;6828700;6296500;0;4723200;0;4623200
P09211;GSTP1;Glutathione S-transferase P;0;0;0;1;0;1;2;2;3;1;1;0;1;1;1;3;0;0;1;1;1;2;0;0;2;2;3;3;2;2;1;2;1;2;0;2;0;0;0;0;0;0;2852300;3133400;2633600;0;0;0;0;0;0;2321600;0;0;0;0;0;2729500;0;0;2576700;2914300;2217000;2257800;2773800;3025600;0;2800200;0;2239500;0;2915000
P09382;LGALS1;Galectin-1;0;2;0;1;1;1;2;2;3;3;2;2;3;1;2;3;1;2;2;2;2;3;2;1;3;1;3;4;0;4;0;2;2;2;1;1;0;7162200;0;10401000;9776400;8439700;6466400;9298200;15682000;7989200;13911000;8952000;5952400;0;8276500;0;0;7030000;9344700;6965900;10728000;5908000;5679200;8581300;6632000;0;7536500;8293000;0;8980800;0;7494100;9767300;4675000;0;0
P09417;QDPR;Dihydropteridine reductase;1;1;1;1;1;0;1;1;1;1;1;1;2;0;1;1;1;1;1;1;1;2;1;1;1;2;3;2;0;1;1;1;1;1;1;2;0;0;2463000;0;3934600;0;0;0;0;2133500;4131800;0;2302400;0;0;0;0;0;0;0;0;9571200;2253400;2520300;0;2442500;3534600;2279400;0;0;1972600;0;3072900;0;0;2443100
