No.	UniProtKB ID	Entry Name	Organism	Gene Name
40	P56817	BACE1_HUMAN	Homo sapiens (Human)	BACE1
41	Q9Y5Z0	BACE2_HUMAN	Homo sapiens (Human)	BACE2
42	P50895	BCAM_HUMAN	Homo sapiens (Human)	BCAM
43	P35613	BASI_HUMAN	Homo sapiens (Human)	BSG
44	P35070	BTC_HUMAN	Homo sapiens (Human)	BTC
45	P56818	BACE1_MOUSE	Mus musculus (Mouse)	Bace1
46	P26453	BASI_RAT	Rattus norvegicus (Rat)	Bsg
47	Q05928	BTC_MOUSE	Mus musculus (Mouse)	Btc
48	Q07021	C1QBP_HUMAN	Homo sapiens (Human)	C1QBP
49	Q16790	CAH9_HUMAN	Homo sapiens (Human)	CA9
50	Q9BY67	CADM1_HUMAN	Homo sapiens (Human)	CADM1
51	Q6YHK3	CD109_HUMAN	Homo sapiens (Human)	CD109
52	P08571	CD14_HUMAN	Homo sapiens (Human)	CD14
53	O95971	BY55_HUMAN	Homo sapiens (Human)	CD160
54	Q86VB7	C163A_HUMAN	Homo sapiens (Human)	CD163
55	P06729	CD2_HUMAN	Homo sapiens (Human)	CD2
56	P41217	OX2G_HUMAN	Homo sapiens (Human)	CD200
57	Q15762	CD226_HUMAN	Homo sapiens (Human)	CD226
58	P26842	CD27_HUMAN	Homo sapiens (Human)	CD27
59	Q9NZQ7	PD1L1_HUMAN	Homo sapiens (Human)	CD274
60	Q5ZPR3	CD276_HUMAN	Homo sapiens (Human)	CD276
61	P10747	CD28_HUMAN	Homo sapiens (Human)	CD28
62	P20138	CD33_HUMAN	Homo sapiens (Human)	CD33
63	P01730	CD4_HUMAN	Homo sapiens (Human)	CD4
64	P25942	TNR5_HUMAN	Homo sapiens (Human)	CD40
65	P29965	CD40L_HUMAN	Homo sapiens (Human)	CD40LG
66	P16070	CD44_HUMAN	Homo sapiens (Human)	CD44
67	P15529	MCP_HUMAN	Homo sapiens (Human)	CD46
68	P09326	CD48_HUMAN	Homo sapiens (Human)	CD48
69	P06127	CD5_HUMAN	Homo sapiens (Human)	CD5
70	P31358	CD52_HUMAN	Homo sapiens (Human)	CD52
71	P08174	DAF_HUMAN	Homo sapiens (Human)	CD55
72	P19256	LFA3_HUMAN	Homo sapiens (Human)	CD58
73	P13987	CD59_HUMAN	Homo sapiens (Human)	CD59
74	P04233	HG2A_HUMAN	Homo sapiens (Human)	CD74
75	Q01151	CD83_HUMAN	Homo sapiens (Human)	CD83
76	P42081	CD86_HUMAN	Homo sapiens (Human)	CD86
77	P01732	CD8A_HUMAN	Homo sapiens (Human)	CD8A
78	P21926	CD9_HUMAN	Homo sapiens (Human)	CD9
79	Q9NPY3	C1QR1_HUMAN	Homo sapiens (Human)	CD93
80	P14209	CD99_HUMAN	Homo sapiens (Human)	CD99
81	Q9H5V8	CDCP1_HUMAN	Homo sapiens (Human)	CDCP1
82	P12830	CADH1_HUMAN	Homo sapiens (Human)	CDH1
83	P55287	CAD11_HUMAN	Homo sapiens (Human)	CDH11
84	Q12864	CAD17_HUMAN	Homo sapiens (Human)	CDH17
85	P19022	CADH2_HUMAN	Homo sapiens (Human)	CDH2
86	P22223	CADH3_HUMAN	Homo sapiens (Human)	CDH3
87	P33151	CADH5_HUMAN	Homo sapiens (Human)	CDH5
88	P13688	CEAM1_HUMAN	Homo sapiens (Human)	CEACAM1
89	P57739	CLD2_HUMAN	Homo sapiens (Human)	CLDN2
90	Q86T13	CLC14_HUMAN	Homo sapiens (Human)	CLEC14A
91	Q9P126	CLC1B_HUMAN	Homo sapiens (Human)	CLEC1B
92	O75596	CLC3A_HUMAN	Homo sapiens (Human)	CLEC3A
93	O94985	CSTN1_HUMAN	Homo sapiens (Human)	CLSTN1
94	Q9H4D0	CSTN2_HUMAN	Homo sapiens (Human)	CLSTN2
95	Q9BQT9	CSTN3_HUMAN	Homo sapiens (Human)	CLSTN3
96	Q9HBJ8	CLTRN_HUMAN	Homo sapiens (Human)	CLTRN
97	P26992	CNTFR_HUMAN	Homo sapiens (Human)	CNTFR
98	Q5TAT6	CODA1_HUMAN	Homo sapiens (Human)	COL13A1
99	Q9UMD9	COHA1_HUMAN	Homo sapiens (Human)	COL17A1
100	Q86Y22	CONA1_HUMAN	Homo sapiens (Human)	COL23A1
101	Q9BXS0	COPA1_HUMAN	Homo sapiens (Human)	COL25A1
102	Q5KU26	COL12_HUMAN	Homo sapiens (Human)	COLEC12
103	Q9Y5Q5	CORIN_HUMAN	Homo sapiens (Human)	CORIN
104	P17927	CR1_HUMAN	Homo sapiens (Human)	CR1
105	P20023	CR2_HUMAN	Homo sapiens (Human)	CR2
106	Q9NZV1	CRIM1_HUMAN	Homo sapiens (Human)	CRIM1
107	P09603	CSF1_HUMAN	Homo sapiens (Human)	CSF1
108	P07333	CSF1R_HUMAN	Homo sapiens (Human)	CSF1R
109	P15509	CSF2R_HUMAN	Homo sapiens (Human)	CSF2RA
110	Q6UVK1	CSPG4_HUMAN	Homo sapiens (Human)	CSPG4
111	P78423	X3CL1_HUMAN	Homo sapiens (Human)	CX3CL1
112	Q9H2A7	CXL16_HUMAN	Homo sapiens (Human)	CXCL16
113	Q8R5M8	CADM1_MOUSE	Mus musculus (Mouse)	Cadm1
114	Q2VLH6	C163A_MOUSE	Mus musculus (Mouse)	Cd163
115	Q08857	CD36_MOUSE	Mus musculus (Mouse)	Cd36
116	P15379	CD44_MOUSE	Mus musculus (Mouse)	Cd44
117	Q18PI6	SLAF5_MOUSE	Mus musculus (Mouse)	Cd84
118	Q9R0T4	CADH1_RAT	Rattus norvegicus (Rat)	Cdh1
119	P15116	CADH2_MOUSE	Mus musculus (Mouse)	Cdh2
120	Q8VHP6	CDHR1_MOUSE	Mus musculus (Mouse)	Cdhr1
121	P70232	NCHL1_MOUSE	Mus musculus (Mouse)	Chl1
122	Q6Q473	CLA4A_MOUSE	Mus musculus (Mouse)	Clca4a
123	O54942	CLD5_MOUSE	Mus musculus (Mouse)	Cldn5
124	Q61330	CNTN2_MOUSE	Mus musculus (Mouse)	Cntn2
125	Q8K4G2	CONA1_MOUSE	Mus musculus (Mouse)	Col23a1
126	P07141	CSF1_MOUSE	Mus musculus (Mouse)	Csf1
127	P09581	CSF1R_MOUSE	Mus musculus (Mouse)	Csf1r
128	Q00657	CSPG4_RAT	Rattus norvegicus (Rat)	Cspg4
129	Q9ERQ6	CSPG5_RAT	Rattus norvegicus (Rat)	Cspg5
