From	Entry
ENSP00000383003	P62942
ENSP00000219150	P31146
ENSP00000417864	P39687
ENSP00000344786	O94856
ENSP00000346103	P36969
ENSP00000444935	Q15102
ENSP00000316779	O00499
ENSP00000327694	O94973
ENSP00000299633	Q9Y3E1
ENSP00000376056	P24534
ENSP00000365147	Q96C19
ENSP00000244573	Q02539
ENSP00000286788	P50990
ENSP00000252575	O14594
ENSP00000261890	P62491
ENSP00000317379	O94925
ENSP00000346032	P07355
ENSP00000306010	P18085
ENSP00000356705	Q9UQ16
ENSP00000435777	P62277
ENSP00000291565	O00764
ENSP00000270776	P52209
ENSP00000285930	P15121
ENSP00000311997	P12036
ENSP00000285735	P08134
ENSP00000353408	P26038
ENSP00000316905	Q9H9B4
ENSP00000355518	P07954
ENSP00000431254	B9A064
ENSP00000265838	P24752
ENSP00000300249	Q15555
ENSP00000000233	P84085
ENSP00000249396	Q8IXJ6
ENSP00000346050	P61247
ENSP00000377446	P53597
ENSP00000367220	P61160
ENSP00000325548	Q96KP4
ENSP00000429150	Q9NUQ9
ENSP00000220822	Q8TB36
ENSP00000258091	Q99832
ENSP00000299300	P78371
ENSP00000362340	Q9UBB6
ENSP00000442318	Q86VP6
ENSP00000418842	P56556
ENSP00000264932	P31040
ENSP00000222247	Q02543
ENSP00000358417	A0A2C9F2M7
ENSP00000477310	Q96FJ2
ENSP00000365773	Q9Y617
ENSP00000233121	Q9UPY8
ENSP00000417175	O95292
ENSP00000349168	P31943
ENSP00000252250	P48668
ENSP00000435096	P62851
ENSP00000419195	Q8NCB2
ENSP00000325240	Q14847
ENSP00000236671	P07339
ENSP00000259396	P02763
ENSP00000483254	O14979
ENSP00000292169	P23297
ENSP00000417378	Q16864
ENSP00000336702	P63241
ENSP00000307093	Q96JE9
ENSP00000255448	O15075
ENSP00000168216	Q99714
ENSP00000464813	P61353
ENSP00000329757	P27449
ENSP00000344504	P07305
ENSP00000265729	P30626
ENSP00000399485	O94772
ENSP00000377958	P50991
ENSP00000379845	P80404
ENSP00000256078	P01116
ENSP00000403172	Q02878
ENSP00000351108	Q99729
ENSP00000358727	P78417
ENSP00000265753	Q15056
ENSP00000263238	P61158
ENSP00000377710	Q13642
ENSP00000234310	P63098
ENSP00000430774	E5RI56
ENSP00000272217	Q96BM9
ENSP00000394107	H7C0C1
ENSP00000357106	Q8N126
ENSP00000252603	O95336
ENSP00000260746	P36405
ENSP00000354947	P47755
ENSP00000367991	Q92599
ENSP00000358142	Q7L0J3
ENSP00000235835	O43488
ENSP00000241337	P28161
ENSP00000345771	P08237
ENSP00000252102	O43678
ENSP00000482445	Q9BRX8
ENSP00000254878	P52758
ENSP00000327268	P19404
ENSP00000446955	P60660
ENSP00000270625	P62280
ENSP00000430494	P14927
ENSP00000232564	Q9HAV0
ENSP00000377640	P83731
ENSP00000379704	Q9UH03
ENSP00000369784	A6NHL2
ENSP00000441543	P0CG48
ENSP00000380869	Q8WUD1
ENSP00000261733	P05091
ENSP00000438507	F5H423
ENSP00000376276	Q01130
ENSP00000357835	Q9H008
ENSP00000262428	Q14019
ENSP00000369176	O95139
ENSP00000037243	P60520
ENSP00000273920	Q9UHY7
ENSP00000432282	Q01995
ENSP00000244745	Q06945
ENSP00000349588	Q01484
ENSP00000263025	P27361
ENSP00000292807	Q96CW1
ENSP00000353590	P35580
ENSP00000363745	O43390
ENSP00000229268	P45974
ENSP00000481646	P46783
ENSP00000229340	Q15286
ENSP00000451866	P0DJ93
ENSP00000414359	P25786
ENSP00000351646	P31948
ENSP00000435289	P68402
ENSP00000344456	P35222
ENSP00000355011	Q12905
ENSP00000462435	Q9BW30
ENSP00000238018	Q9Y2T3
ENSP00000302486	Q02750
ENSP00000400467	P32969
ENSP00000362352	Q9P0M6
ENSP00000361883	Q01518
ENSP00000252699	O43707
ENSP00000331901	P26641
ENSP00000263354	P54920
ENSP00000357065	Q969P0
ENSP00000325376	P52272
ENSP00000252951	P02008
ENSP00000478121	Q15369
ENSP00000351926	O95782
ENSP00000390265	O75874
ENSP00000309334	P61313
ENSP00000389103	P62750
ENSP00000381448	P01034
ENSP00000379888	P62241
ENSP00000443189	H0YGG7
ENSP00000350310	P23634
ENSP00000256496	Q9NVJ2
ENSP00000359077	P32004
ENSP00000316861	Q13491
ENSP00000450436	Q02252
ENSP00000363970	Q9H492
ENSP00000340466	Q14697
ENSP00000379602	P23763
ENSP00000388713	O43813
ENSP00000360939	P30085
ENSP00000327801	P07237
ENSP00000253024	Q13263
ENSP00000350757	P60983
ENSP00000266544	Q16795
ENSP00000278353	Q53GQ0
ENSP00000377941	P12814
ENSP00000355325	P28074
ENSP00000382428	B9EGL1
ENSP00000429374	P60866
ENSP00000388169	P59998
ENSP00000350199	Q10567
ENSP00000384537	Q02952
ENSP00000261875	Q9P035
ENSP00000313050	O75323
ENSP00000264436	P35612
ENSP00000370223	O43837
ENSP00000270458	Q8WXS5
ENSP00000270458	A0A1X7SBR8
ENSP00000361140	P14550
ENSP00000304592	P49327
ENSP00000064724	O75508
ENSP00000284320	O94826
ENSP00000311449	P20340
ENSP00000361935	Q9UM19
ENSP00000369757	P62753
ENSP00000218230	Q9UHG2
ENSP00000230048	Q9NPJ3
ENSP00000230085	O60493
ENSP00000355657	Q16695
ENSP00000388658	O75746
ENSP00000269848	P17858
ENSP00000408910	Q13561
ENSP00000362334	P49721
ENSP00000380378	P43034
ENSP00000470972	P39019
ENSP00000375730	P40429
ENSP00000352438	Q15366
ENSP00000274137	O75380
ENSP00000313432	Q9UBQ7
ENSP00000361076	P62424
ENSP00000228825	O15145
ENSP00000416959	P62995
ENSP00000313829	Q07666
ENSP00000301329	Q9HC38
ENSP00000370109	O75475
ENSP00000378323	Q08209
ENSP00000285208	Q9NRW1
ENSP00000342374	P62316
ENSP00000331210	Q96GW7
ENSP00000370023	P40939
ENSP00000216714	P27695
ENSP00000286548	P50148
ENSP00000357060	Q13733
ENSP00000361083	Q15847
ENSP00000284719	Q9NTK5
ENSP00000315774	O00217
ENSP00000376297	P63167
ENSP00000366109	P04083
ENSP00000368959	Q00765
ENSP00000311430	P36578
ENSP00000356015	Q9BWD1
ENSP00000321259	P37837
ENSP00000300605	Q9H0R4
ENSP00000246533	P04632
ENSP00000269886	Q99961
ENSP00000327589	P49448
ENSP00000267884	P37108
ENSP00000221418	Q13011
ENSP00000375978	P13010
ENSP00000426119	P52943
ENSP00000378161	P14621
ENSP00000265983	P02790
ENSP00000282878	Q96E17
ENSP00000415840	H7C469
ENSP00000216330	Q00688
ENSP00000356520	Q08211
ENSP00000420195	O75494
ENSP00000263168	P52907
ENSP00000335304	P36957
ENSP00000407586	P01112
ENSP00000367309	P27338
ENSP00000399805	Q08257
ENSP00000358635	O60506
ENSP00000341524	Q14141
ENSP00000300413	P62314
ENSP00000392043	P20020
ENSP00000364805	P34931
ENSP00000341885	P15880
ENSP00000418868	P47914
ENSP00000458770	O14561
