Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
PALM|O75781;PALM;turquoise;0,0873;0,3674;0,095
LGALS3|P17931;LGALS3;saddlebrown;0,0874;0,3674;-0,098
NDRG4|Q9ULP0-6;NDRG4;orange;0,0874;0,3674;-0,113
GPR56|Q9Y653;GPR56;saddlebrown;0,0877;0,3680;0,101
C4B|P0C0L5;C4B;green;0,0879;0,3682;-0,125
ADPGK|Q9BRR6;ADPGK;orangered4;0,0880;0,3683;-0,124
ISOC1|Q96CN7;ISOC1;darkgrey;0,0884;0,3687;0,162
YWHAQ|P27348;YWHAQ;yellow;0,0885;0,3687;0,126
DPYSL3|Q14195;DPYSL3;blue;0,0887;0,3687;0,164
GNAS|P63092-4;GNAS;violet;0,0887;0,3687;-0,157
NEFH|P12036;NEFH;yellow;0,0888;0,3687;0,245
GM2A|P17900;GM2A;blue;0,0890;0,3687;-0,200
IGFBP4|P22692;IGFBP4;NA;0,0890;0,3687;0,090
MAN2B1|O00754;MAN2B1;blue;0,0891;0,3687;-0,110
PCDHGA5|Q9Y5G8;PCDHGA5;skyblue;0,0900;0,3718;-0,081
ECM1|Q16610;ECM1;lightcyan;0,0903;0,3724;-0,093
ARHGDIB|P52566;ARHGDIB;darkgrey;0,0906;0,3729;-0,121
DSC1|Q08554;DSC1;NA;0,0907;0,3729;0,092
PTPRN2|Q92932;PTPRN2;turquoise;0,0910;0,3737;-0,098
PIK3IP1|Q96FE7-4;PIK3IP1;blue;0,0913;0,3741;-0,081
HAPLN1|P10915;HAPLN1;grey;0,0916;0,3741;-0,242
NPNT|D6RH31;NPNT;NA;0,0917;0,3741;0,095
ROBO4|Q8WZ75;ROBO4;NA;0,0918;0,3741;-0,180
COA3|Q9Y2R0;COA3;brown;0,0918;0,3741;-0,271
DNAJC5|Q9H3Z4;DNAJC5;turquoise;0,0919;0,3741;0,109
CNP|P09543;CNP;yellow;0,0920;0,3741;-0,157
BIN1|O00499-2;BIN1;yellow;0,0923;0,3741;0,094
SDCBP|G5EA09;SDCBP;greenyellow;0,0924;0,3741;-0,141
MGAT4A|Q9UM21;MGAT4A;NA;0,0927;0,3741;0,074
APOC3|B0YIW2;APOC3;midnightblue;0,0928;0,3741;-0,216
SKP1|P63208;SKP1;green;0,0931;0,3741;0,118
RAC1|P63000-2;RAC1;purple;0,0931;0,3741;-0,181
FAM171A1|Q5VUB5;FAM171A1;grey;0,0931;0,3741;-0,147
TMEM108|Q6UXF1;TMEM108;NA;0,0932;0,3741;0,068
UFD1L|Q92890-1;UFD1L;floralwhite;0,0933;0,3741;0,079
DDB1|Q16531;DDB1;black;0,0934;0,3741;0,054
COTL1|Q14019;COTL1;green;0,0935;0,3741;0,099
RPS5|M0R0R2;RPS5;white;0,0936;0,3741;-0,208
NLGN3|Q9NZ94;NLGN3;violet;0,0938;0,3745;-0,157
PLG|P00747;PLG;midnightblue;0,0940;0,3748;-0,209
ANGPTL7|O43827;ANGPTL7;NA;0,0941;0,3748;-0,194
LRIG2|O94898;LRIG2;NA;0,0943;0,3751;-0,060
HCN2|Q9UL51;HCN2;turquoise;0,0949;0,3768;0,122
DNAJC3|Q13217;DNAJC3;lightcyan;0,0950;0,3768;-0,039
IFI6|P09912-3;IFI6;NA;0,0954;0,3776;-0,151
CD46|P15529-2;CD46;grey60;0,0955;0,3776;0,074
FLT3|P36888;FLT3;NA;0,0968;0,3818;-0,105
MMRN1|Q13201;MMRN1;NA;0,0969;0,3818;-0,105
SUSD2|Q9UGT4;SUSD2;red;0,0969;0,3818;0,112
JAG1|P78504;JAG1;NA;0,0978;0,3829;-0,076
PCSK6|P29122;PCSK6;NA;0,0979;0,3829;-0,067
FGFR4|P22455;FGFR4;NA;0,0980;0,3829;-0,233
ERLEC1|Q96DZ1;ERLEC1;magenta;0,0982;0,3829;-0,175
SNCB|Q16143;SNCB;tan;0,0982;0,3829;0,128
DBI|P07108-5;DBI;green;0,0983;0,3829;0,080
CD97|P48960;CD97;NA;0,0984;0,3829;-0,113
TNFRSF10D|Q9UBN6;TNFRSF10D;NA;0,0985;0,3829;-0,180
AMIGO2|Q86SJ2;AMIGO2;NA;0,0986;0,3829;-0,068
FCGR3A|M9MML0;FCGR3A;NA;0,0987;0,3829;0,090
CCK|P06307;CCK;tan;0,0989;0,3829;-0,087
BMPR1B|O00238-2;BMPR1B;NA;0,0990;0,3829;0,110
RNPEP|Q9H4A4;RNPEP;blue;0,0990;0,3829;0,070
TMED4|Q7Z7H5;TMED4;darkgreen;0,0991;0,3829;0,171
SELENBP1|Q13228-4;SELENBP1;green;0,0994;0,3832;-0,078
MB|P02144;MB;NA;0,0995;0,3832;-0,359
SV2C|Q496J9;SV2C;grey;0,0996;0,3832;0,086
CALR|P27797;CALR;red;0,1000;0,3842;0,069
C3|P01024;C3;midnightblue;0,1001;0,3842;-0,143
MAN1C1|Q9NR34;MAN1C1;grey60;0,1003;0,3842;-0,078
ACYP2|P14621;ACYP2;darkgrey;0,1004;0,3842;0,050
TMPRSS5|Q9H3S3;TMPRSS5;NA;0,1009;0,3854;0,112
UQCRC1|P31930;UQCRC1;brown;0,1011;0,3854;-0,218
FRRS1L|Q9P0K9;FRRS1L;turquoise;0,1011;0,3854;-0,063
LPHN2|O95490-6;LPHN2;paleturquoise;0,1021;0,3887;-0,067
SLC4A10|Q6U841;SLC4A10;turquoise;0,1022;0,3887;0,124
FLOT1|O75955;FLOT1;turquoise;0,1026;0,3895;-0,084
FN3K|Q9H479;FN3K;yellow;0,1027;0,3895;0,196
GRIA4|P48058;GRIA4;turquoise;0,1031;0,3906;-0,139
SFRP1|Q8N474;SFRP1;pink;0,1034;0,3907;0,150
DSG1|Q02413;DSG1;NA;0,1035;0,3907;0,148
LGALS8|O00214-2;LGALS8;sienna3;0,1036;0,3907;0,109
CHMP4B|Q9H444;CHMP4B;plum1;0,1038;0,3907;0,334
DPM3|Q9P2X0-2;DPM3;grey;0,1039;0,3907;-0,103
RBKS|Q9H477;RBKS;darkgrey;0,1040;0,3907;0,096
PLAUR|Q03405;PLAUR;NA;0,1043;0,3913;0,105
GDF11|O95390;GDF11;NA;0,1049;0,3930;-0,062
ADRM1|Q16186;ADRM1;grey;0,1051;0,3930;0,100
EML2|O95834-3;EML2;pink;0,1055;0,3930;0,090
LAMP2|P13473-3;LAMP2;yellow;0,1055;0,3930;0,082
SHBG|P04278;SHBG;NA;0,1056;0,3930;-0,215
HYOU1|Q9Y4L1;HYOU1;turquoise;0,1056;0,3930;-0,079
FAM19A4|Q96LR4;FAM19A4;NA;0,1057;0,3930;0,064
PRG2|P13727;PRG2;NA;0,1069;0,3966;-0,127
WSCD2|Q2TBF2-2;WSCD2;NA;0,1070;0,3966;-0,115
OPTN|Q96CV9;OPTN;purple;0,1072;0,3966;0,075
PIP|P12273;PIP;NA;0,1072;0,3966;0,145
CFL2|Q9Y281;CFL2;yellow;0,1075;0,3969;0,076
GCSH|P23434;GCSH;red;0,1075;0,3969;0,084
OGFOD3|Q6PK18-2;OGFOD3;NA;0,1078;0,3975;-0,101
COL4A5|P29400-2;COL4A5;red;0,1080;0,3975;-0,126
ARPC5|O15511-2;ARPC5;darkgrey;0,1082;0,3975;-0,073
ICOSLG|K4DIA0;ICOSLG;blue;0,1083;0,3975;0,109
DAG1|Q14118;DAG1;saddlebrown;0,1084;0,3975;-0,083
AP2A2|O94973-2;AP2A2;grey;0,1089;0,3990;-0,071
GPX3|P22352;GPX3;red;0,1092;0,3991;-0,100
PTCHD2|Q9P2K9;PTCHD2;NA;0,1093;0,3991;-0,055
PEAR1|Q5VY43;PEAR1;NA;0,1094;0,3991;-0,080
IQGAP1|P46940;IQGAP1;blue;0,1098;0,4002;-0,281
L1CAM|P32004;L1CAM;brown;0,1103;0,4012;0,065
FAM49B|Q9NUQ9;FAM49B;purple;0,1105;0,4015;0,085
MSTN|O14793;MSTN;NA;0,1107;0,4020;-0,076
CRYAB|P02511;CRYAB;yellow;0,1113;0,4028;-0,138
CHST8|Q9H2A9;CHST8;NA;0,1115;0,4028;-0,058
GPR158|Q5T848;GPR158;turquoise;0,1116;0,4028;0,074
BCAP31|P51572-2;BCAP31;turquoise;0,1116;0,4028;-0,195
FBN2|P35556;FBN2;NA;0,1117;0,4028;0,167
PPP3CA|Q08209;PPP3CA;brown;0,1119;0,4029;0,098
PLD3|Q8IV08;PLD3;magenta;0,1120;0,4029;0,084
IDUA|P35475;IDUA;NA;0,1124;0,4038;-0,134
PDIA4|P13667;PDIA4;blue;0,1125;0,4038;0,047
RCSD1|Q6JBY9;RCSD1;floralwhite;0,1127;0,4040;0,070
KRT9|P35527;KRT9;floralwhite;0,1130;0,4047;0,198
0|B4E1Z4;0;NA;0,1132;0,4050;-0,200
SERPINA6|P08185;SERPINA6;NA;0,1138;0,4066;-0,198
CRYM|Q14894;CRYM;tan;0,1142;0,4067;0,193
CMBL|Q96DG6;CMBL;saddlebrown;0,1143;0,4067;0,122
DRAXIN|Q8NBI3;DRAXIN;NA;0,1143;0,4067;0,213
ALCAM|Q13740-2;ALCAM;blue;0,1147;0,4078;0,046
ABCA8|O94911-3;ABCA8;blue;0,1155;0,4098;0,190
RAP2A|P10114;RAP2A;turquoise;0,1156;0,4099;-0,100
PRDX6|P30041;PRDX6;green;0,1158;0,4100;-0,167
RAB11B|Q15907;RAB11B;lightgreen;0,1166;0,4123;-0,158
GNPTG|Q9UJJ9;GNPTG;NA;0,1168;0,4124;-0,104
PTPRS|Q13332-5;PTPRS;brown;0,1169;0,4124;-0,066
DNAJC16|Q9Y2G8;DNAJC16;turquoise;0,1178;0,4148;0,100
CRABP1|P29762;CRABP1;red;0,1179;0,4148;-0,163
CAPNS1|A0A0C4DGQ5;CAPNS1;green;0,1181;0,4151;-0,100
RNF13|O43567;RNF13;NA;0,1185;0,4153;0,075
ST8SIA5|O15466-2;ST8SIA5;NA;0,1185;0,4153;-0,078
C1QL1|O75973;C1QL1;NA;0,1188;0,4153;0,073
SEMA3C|Q99985;SEMA3C;NA;0,1189;0,4153;-0,119
PCDH12|Q9NPG4;PCDH12;NA;0,1189;0,4153;-0,093
DLK2|Q6UY11;DLK2;NA;0,1191;0,4154;-0,139
AIFM1|O95831;AIFM1;brown;0,1194;0,4161;0,099
MASP1|P48740-3;MASP1;NA;0,1195;0,4161;-0,137
S100A9|P06702;S100A9;grey;0,1199;0,4167;-0,246
HLA-DRB1|Q5Y7A7;HLA-DRB1;darkgrey;0,1208;0,4193;-0,204
NFASC|X6RKN2;NFASC;salmon;0,1212;0,4193;-0,052
CMC4|P56277;CMC4;grey;0,1212;0,4193;0,090
FAHD1|Q6P587-3;FAHD1;brown;0,1212;0,4193;0,178
CD27|P26842;CD27;NA;0,1218;0,4209;-0,119
THBS4|P35443;THBS4;NA;0,1224;0,4222;-0,078
SHISA9|B4DS77;SHISA9;turquoise;0,1225;0,4222;0,142
OMG|P23515;OMG;yellow;0,1229;0,4231;-0,074
CTSA|X6R8A1;CTSA;grey;0,1236;0,4246;-0,125
GRHPR|U3KQ56;GRHPR;yellow;0,1237;0,4246;-0,236
SCUBE1|Q8IWY4;SCUBE1;NA;0,1238;0,4246;-0,093
C1QL2|Q7Z5L3;C1QL2;NA;0,1244;0,4256;0,120
QPCTL|Q9NXS2;QPCTL;NA;0,1244;0,4256;-0,101
VWC2|Q2TAL6;VWC2;brown;0,1246;0,4256;-0,059
ARV1|H7C484;ARV1;NA;0,1246;0,4256;0,131
ALPL|P05186;ALPL;turquoise;0,1248;0,4257;-0,089
CADM1|Q9BY67-2;CADM1;turquoise;0,1250;0,4259;0,066
HLA-DQB1|Q5SU54;HLA-DQB1;NA;0,1256;0,4274;-0,282
PAFAH1B1|P43034;PAFAH1B1;salmon;0,1258;0,4275;0,066
FBLN1|P23142;FBLN1;green;0,1266;0,4297;-0,076
RETN|Q9HD89;RETN;NA;0,1273;0,4312;0,227
LYPD6B|Q8NI32-2;LYPD6B;NA;0,1273;0,4312;0,161
KRT80|Q6KB66;KRT80;NA;0,1278;0,4324;0,155
THBS3|P49746;THBS3;NA;0,1291;0,4361;-0,120
MASP2|O00187;MASP2;NA;0,1292;0,4361;-0,152
ENPP5|Q9UJA9;ENPP5;NA;0,1295;0,4366;0,086
SORD|Q00796;SORD;green;0,1303;0,4382;-0,121
DCTN2|Q13561-2;DCTN2;blue;0,1304;0,4382;0,118
SLC8A2|Q9UPR5;SLC8A2;turquoise;0,1305;0,4382;0,072
ITGA7|Q13683;ITGA7;darkgrey;0,1308;0,4387;0,055
VAPA|Q9P0L0-2;VAPA;purple;0,1311;0,4389;0,053
PLXDC2|Q6UX71;PLXDC2;blue;0,1311;0,4389;0,071
AMPH|H0Y7T8;AMPH;plum1;0,1316;0,4401;0,113
CFH|Q5TFM2;CFH;midnightblue;0,1319;0,4403;-0,132
0|K7EQZ3;0;NA;0,1322;0,4410;0,159
ITGBL1|O95965;ITGBL1;NA;0,1328;0,4421;-0,093
ATRNL1|Q5VV63;ATRNL1;brown;0,1330;0,4421;0,084
GSTM2|P28161;GSTM2;saddlebrown;0,1330;0,4421;-0,090
H1F0|P07305;H1F0;red;0,1333;0,4421;-0,136
A1BG|P04217;A1BG;grey;0,1334;0,4421;-0,160
AKR1C1|A0A0A0MT30;AKR1C1;NA;0,1335;0,4421;-0,101
NRXN3|Q9HDB5;NRXN3;turquoise;0,1342;0,4438;-0,082
GRB2|P62993;GRB2;green;0,1346;0,4440;0,072
SIRPB1|O00241;SIRPB1;turquoise;0,1346;0,4440;0,187
FXYD6|Q9H0Q3;FXYD6;turquoise;0,1348;0,4440;-0,082
CCT3|P49368;CCT3;darkolivegreen;0,1348;0,4440;-0,116
GDF10|P55107;GDF10;NA;0,1352;0,4448;0,072
F11|P03951;F11;NA;0,1356;0,4455;-0,173
DSC2|Q02487;DSC2;red;0,1357;0,4455;0,047
SUMF2|J3KQJ1;SUMF2;lightcyan;0,1359;0,4456;-0,125
CPB1|P15086;CPB1;NA;0,1369;0,4484;0,116
HS6ST3|Q8IZP7;HS6ST3;NA;0,1373;0,4489;-0,082
ITIH4|Q14624-2;ITIH4;midnightblue;0,1374;0,4489;-0,184
RNF19B|Q6ZMZ0;RNF19B;NA;0,1376;0,4491;-0,241
CST1|P01037;CST1;NA;0,1381;0,4503;-0,230
F13B|P05160;F13B;NA;0,1395;0,4538;-0,155
ATP5O|P48047;ATP5O;brown;0,1395;0,4538;-0,182
PVRL3|Q9NQS3;PVRL3;orangered4;0,1399;0,4546;-0,076
CAMKV|Q8NCB2;CAMKV;turquoise;0,1402;0,4548;0,098
PPA1|Q15181;PPA1;darkolivegreen;0,1403;0,4548;-0,168
TGOLN2|O43493;TGOLN2;grey;0,1412;0,4568;0,077
VCL|P18206;VCL;red;0,1413;0,4568;-0,065
NLGN1|Q8N2Q7;NLGN1;brown;0,1419;0,4584;-0,089
NEGR1|Q7Z3B1;NEGR1;turquoise;0,1422;0,4588;-0,059
TGFBI|Q15582;TGFBI;red;0,1424;0,4588;-0,067
FOLH1|Q04609;FOLH1;yellow;0,1427;0,4593;-0,098
PTGFRN|Q9P2B2;PTGFRN;turquoise;0,1435;0,4616;-0,082
ACVR1|Q04771;ACVR1;NA;0,1439;0,4623;-0,071
PMCH|P20382;PMCH;NA;0,1454;0,4659;-0,098
STX7|O15400;STX7;tan;0,1455;0,4659;0,093
ARPC2|O15144;ARPC2;turquoise;0,1456;0,4659;-0,081
ZNF605|Q86T29-2;ZNF605;NA;0,1457;0,4659;0,099
NDST1|P52848;NDST1;NA;0,1461;0,4667;-0,067
NCSTN|Q92542;NCSTN;violet;0,1465;0,4674;0,081
BCAS1|A0A0A0MRP7;BCAS1;yellow;0,1473;0,4695;0,334
PLXND1|Q9Y4D7;PLXND1;turquoise;0,1476;0,4696;-0,104
CTNND2|Q9UQB3;CTNND2;yellowgreen;0,1476;0,4696;0,271
CTSF|Q9UBX1;CTSF;green;0,1491;0,4732;-0,084
GNB2L1|P63244;GNB2L1;black;0,1491;0,4732;-0,120
CD109|Q6YHK3;CD109;green;0,1495;0,4734;0,066
SERPINB6|A0A087X1N8;SERPINB6;darkred;0,1496;0,4734;0,058
CRYGD|P07320;CRYGD;NA;0,1499;0,4734;0,080
PSMB1|P20618;PSMB1;green;0,1499;0,4734;0,089
EXT2|Q93063-3;EXT2;NA;0,1500;0,4734;-0,055
C1orf56|Q9BUN1;C1orf56;NA;0,1502;0,4736;-0,051
CLDN11|O75508;CLDN11;yellow;0,1505;0,4738;-0,177
HTRA1|Q92743;HTRA1;green;0,1507;0,4739;0,056
KLK7|P49862;KLK7;NA;0,1509;0,4740;-0,114
PCSK1N|Q9UHG2;PCSK1N;turquoise;0,1510;0,4740;-0,052
POMGNT1|Q8WZA1;POMGNT1;NA;0,1515;0,4750;-0,088
CA3|P07451;CA3;lightgreen;0,1518;0,4750;-0,256
LRFN2|Q9ULH4;LRFN2;turquoise;0,1518;0,4750;-0,120
ACTA1|P68133;ACTA1;turquoise;0,1524;0,4762;-0,088
ADK|P55263;ADK;green;0,1531;0,4766;-0,276
COL6A2|P12110;COL6A2;red;0,1533;0,4766;-0,050
HSPH1|Q92598;HSPH1;darkolivegreen;0,1533;0,4766;0,129
CDH4|P55283;CDH4;grey60;0,1534;0,4766;-0,078
C11orf87|Q6NUJ2;C11orf87;NA;0,1535;0,4766;0,137
FN1|P02751-4;FN1;red;0,1537;0,4766;-0,127
IGLV3-25|A0A075B6J4;IGLV3-25;NA;0,1540;0,4766;0,231
VMO1|Q7Z5L0;VMO1;NA;0,1540;0,4766;-0,139
LMAN2|Q12907;LMAN2;blue;0,1542;0,4766;-0,035
VAPB|O95292;VAPB;turquoise;0,1543;0,4766;-0,174
FZD4|Q9ULV1;FZD4;NA;0,1545;0,4766;-0,108
IGF2R|P11717;IGF2R;grey;0,1547;0,4766;0,029
ITIH1|P19827;ITIH1;red;0,1547;0,4766;-0,221
ZG16B|Q96DA0;ZG16B;NA;0,1550;0,4766;-0,165
CHID1|Q9BWS9;CHID1;turquoise;0,1550;0,4766;-0,109
CDSN|G8JLG2;CDSN;NA;0,1553;0,4770;0,136
TNXB|E7EPZ9;TNXB;red;0,1559;0,4784;-0,096
MFRP|Q9BY79;MFRP;NA;0,1562;0,4789;-0,105
YBX1|H0Y449;YBX1;blue;0,1569;0,4796;0,096
PTPRM|P28827-2;PTPRM;grey;0,1569;0,4796;-0,039
PLP1|P60201;PLP1;yellow;0,1570;0,4796;-0,185
MGP|P08493-2;MGP;NA;0,1575;0,4806;0,165
COL4A1|P02462;COL4A1;red;0,1579;0,4815;0,054
PSMB6|P28072;PSMB6;steelblue;0,1583;0,4817;0,123
BSG|P35613;BSG;brown;0,1585;0,4817;0,064
TMEM109|Q9BVC6;TMEM109;grey;0,1585;0,4817;0,093
LPHN1|O94910-2;LPHN1;brown;0,1591;0,4831;-0,082
GPR116|Q8IZF2;GPR116;NA;0,1603;0,4852;-0,100
PSMB2|P49721;PSMB2;mediumpurple3;0,1603;0,4852;0,138
CTSC|P53634;CTSC;NA;0,1605;0,4852;-0,100
CSF1R|P07333;CSF1R;NA;0,1605;0,4852;0,084
PRDX5|P30044;PRDX5;plum1;0,1609;0,4854;-0,149
SPARC|D3DQH8;SPARC;steelblue;0,1610;0,4854;-0,067
LITAF|Q99732;LITAF;NA;0,1613;0,4854;-0,177
ENDOD1|O94919;ENDOD1;yellow;0,1613;0,4854;0,043
PYCARD|Q9ULZ3;PYCARD;darkgreen;0,1615;0,4854;0,101
GPR126|Q86SQ4-3;GPR126;NA;0,1616;0,4854;-0,051
S100B|P04271;S100B;blue;0,1618;0,4855;0,119
KRT79|Q5XKE5;KRT79;NA;0,1621;0,4855;-0,447
BAMBI|Q13145;BAMBI;NA;0,1623;0,4855;-0,063
GALNT5|Q7Z7M9;GALNT5;NA;0,1623;0,4855;-0,129
SGCE|B7Z2R4;SGCE;red;0,1624;0,4855;-0,082
SCG5|P05408-2;SCG5;grey;0,1634;0,4877;-0,056
ECM2|O94769-2;ECM2;NA;0,1637;0,4881;-0,098
PSMA7|O14818;PSMA7;steelblue;0,1641;0,4881;0,122
ITIH2|P19823;ITIH2;red;0,1641;0,4881;-0,172
IGFALS|P35858-2;IGFALS;NA;0,1642;0,4881;-0,175
BAI1|O14514;BAI1;turquoise;0,1644;0,4881;-0,083
SPRR1B|P22528;SPRR1B;NA;0,1645;0,4881;0,254
GFRA1|P56159;GFRA1;mediumpurple3;0,1650;0,4889;0,070
CDH12|P55289;CDH12;NA;0,1654;0,4894;-0,056
TLL1|E9PD25;TLL1;NA;0,1657;0,4894;-0,108
CDH19|Q9H159;CDH19;NA;0,1658;0,4894;0,102
CFHR2|P36980;CFHR2;midnightblue;0,1660;0,4894;-0,199
SELM|Q8WWX9;SELM;green;0,1661;0,4894;-0,075
NAPRT|Q6XQN6;NAPRT;darkgreen;0,1661;0,4894;-0,221
SARAF|H0YBH7;SARAF;magenta;0,1665;0,4900;0,068
C1GALT1C1|Q96EU7;C1GALT1C1;NA;0,1676;0,4925;-0,065
FREM1|Q5H8C1;FREM1;NA;0,1677;0,4925;-0,131
SFN|P31947;SFN;blue;0,1679;0,4927;-0,347
TUBB4A|P04350;TUBB4A;salmon;0,1682;0,4927;-0,131
CCT4|P50991;CCT4;darkolivegreen;0,1683;0,4927;-0,099
CCT7|Q99832;CCT7;purple;0,1691;0,4945;-0,180
PSMB3|P49720;PSMB3;grey;0,1693;0,4945;0,154
HSPB1|P04792;HSPB1;green;0,1698;0,4957;-0,133
A1BG|P04217-2;A1BG;grey;0,1701;0,4960;-0,186
VSIG4|Q9Y279;VSIG4;lightgreen;0,1704;0,4962;0,100
MOXD1|Q6UVY6;MOXD1;yellow;0,1708;0,4962;-0,063
FBLN2|P98095-2;FBLN2;grey;0,1709;0,4962;-0,084
ARSB|P15848;ARSB;grey;0,1709;0,4962;-0,093
IGFBP5|P24593;IGFBP5;steelblue;0,1710;0,4962;0,068
ENTPD4|Q9Y227;ENTPD4;NA;0,1716;0,4969;-0,062
NRP2|Q7LBX6;NRP2;turquoise;0,1716;0,4969;-0,039
EFNA1|P20827;EFNA1;NA;0,1721;0,4979;0,094
TXN|P10599;TXN;grey;0,1735;0,5012;0,085
FURIN|P09958;FURIN;NA;0,1737;0,5014;-0,076
GARS|P41250;GARS;tan;0,1741;0,5022;-0,165
CD44|P16070;CD44;blue;0,1745;0,5024;0,066
FLG|P20930;FLG;NA;0,1746;0,5024;0,190
SYT2|Q8N9I0;SYT2;grey;0,1750;0,5033;0,074
SEPW1|F8WB74;SEPW1;salmon;0,1754;0,5038;0,076
CALU|O43852-3;CALU;red;0,1760;0,5047;-0,051
EMILIN1|A0A0C4DFX3;EMILIN1;red;0,1761;0,5047;-0,060
CHST6|Q9GZX3;CHST6;NA;0,1773;0,5072;-0,214
NRXN1|P58400;NRXN1;turquoise;0,1773;0,5072;0,164
PTMA|H7C2N1;PTMA;blue;0,1780;0,5088;0,109
BMP7|P18075;BMP7;NA;0,1782;0,5088;-0,110
TNXB|P22105;TNXB;red;0,1789;0,5102;-0,050
VCAM1|P19320;VCAM1;NA;0,1791;0,5103;-0,073
ACVR2B|Q13705;ACVR2B;NA;0,1794;0,5107;0,063
ADCYAP1|P18509;ADCYAP1;NA;0,1802;0,5121;-0,143
DNER|Q8NFT8;DNER;grey;0,1803;0,5121;-0,049
PHPT1|Q9NRX4;PHPT1;blue;0,1806;0,5126;0,113
ULBP2|Q9BZM5;ULBP2;NA;0,1809;0,5130;-0,096
SERPINA7|P05543;SERPINA7;NA;0,1813;0,5134;-0,191
PTPRR|Q15256;PTPRR;grey;0,1814;0,5134;-0,079
VDAC2|P45880-1;VDAC2;turquoise;0,1818;0,5138;-0,147
SFPQ|P23246;SFPQ;darkorange;0,1825;0,5153;-0,132
EFNA5|P52803;EFNA5;NA;0,1829;0,5161;-0,054
CADPS|Q9ULU8-4;CADPS;turquoise;0,1834;0,5163;0,083
HNRNPD|Q14103;HNRNPD;darkred;0,1835;0,5163;-0,156
STC1|P52823;STC1;NA;0,1836;0,5163;-0,071
NRN1L|Q496H8;NRN1L;NA;0,1837;0,5163;-0,197
VASN|Q6EMK4;VASN;grey60;0,1845;0,5170;0,046
CKB|P12277;CKB;grey;0,1846;0,5170;-0,106
CACNA1E|Q15878;CACNA1E;turquoise;0,1846;0,5170;-0,146
NTNG1|Q9Y2I2-4;NTNG1;brown;0,1848;0,5170;-0,082
STAB1|Q9NY15;STAB1;darkred;0,1850;0,5170;0,068
ENG|P17813;ENG;red;0,1850;0,5170;-0,082
SEMA3G|Q9NS98;SEMA3G;NA;0,1861;0,5192;-0,063
FAM3B|P58499-2;FAM3B;NA;0,1862;0,5192;-0,162
SERPINB12|Q96P63-2;SERPINB12;NA;0,1864;0,5192;0,138
WFDC2|Q14508;WFDC2;NA;0,1873;0,5211;-0,063
APOC4|P55056;APOC4;NA;0,1876;0,5211;-0,219
ARPC4|P59998-3;ARPC4;turquoise;0,1876;0,5211;-0,079
TNFSF9|P41273;TNFSF9;NA;0,1878;0,5213;-0,106
NAGA|P17050;NAGA;blue;0,1881;0,5214;-0,103
MCOLN1|Q9GZU1;MCOLN1;greenyellow;0,1882;0,5214;0,085
PSMA6|G3V5Z7;PSMA6;steelblue;0,1884;0,5214;0,129
LRG1|P02750;LRG1;midnightblue;0,1889;0,5217;-0,144
CRB2|Q5IJ48;CRB2;NA;0,1890;0,5217;-0,061
PDCD1LG2|Q9BQ51;PDCD1LG2;NA;0,1891;0,5217;-0,095
HNRNPA1|P09651;HNRNPA1;skyblue3;0,1892;0,5217;-0,286
CXCL12|P48061-4;CXCL12;NA;0,1895;0,5218;-0,168
LRP1|Q07954;LRP1;red;0,1897;0,5218;0,042
SERPINC1|P01008;SERPINC1;midnightblue;0,1900;0,5221;-0,170
PDCD6IP|Q8WUM4;PDCD6IP;turquoise;0,1901;0,5221;-0,108
CAST|P20810-6;CAST;blue;0,1907;0,5230;0,097
SEMA3E|O15041;SEMA3E;NA;0,1914;0,5246;-0,114
CHPF2|Q9P2E5;CHPF2;NA;0,1918;0,5251;-0,090
ALDH6A1|Q02252;ALDH6A1;blue;0,1923;0,5260;-0,163
HPX|P02790;HPX;midnightblue;0,1925;0,5260;-0,138
KIAA0513|O60268;KIAA0513;turquoise;0,1928;0,5260;-0,194
MAN1A1|P33908;MAN1A1;brown;0,1934;0,5260;-0,048
SLC39A6|Q13433;SLC39A6;turquoise;0,1935;0,5260;-0,081
IGJ|P01591;IGJ;midnightblue;0,1935;0,5260;-0,237
FSTL4|Q6MZW2;FSTL4;NA;0,1937;0,5260;-0,110
TMEM132C|Q8N3T6;TMEM132C;grey;0,1937;0,5260;-0,061
CTSD|P07339;CTSD;blue;0,1940;0,5260;-0,081
HLA-B|P10319;HLA-B;grey;0,1940;0,5260;-0,500
HLA-DRB1|P20039;HLA-DRB1;darkgrey;0,1941;0,5260;-0,549
TGM3|Q08188;TGM3;NA;0,1949;0,5275;0,124
DCC|P43146;DCC;brown;0,1951;0,5275;-0,066
MSN|P26038;MSN;green;0,1952;0,5275;0,061
PCP4L1|A6NKN8;PCP4L1;tan;0,1968;0,5306;0,098
CLEC14A|Q86T13;CLEC14A;grey;0,1968;0,5306;0,166
CFD|K7ERG9;CFD;NA;0,1969;0,5306;-0,083
LXN|Q9BS40;LXN;grey;0,1972;0,5306;0,215
PROZ|P22891-2;PROZ;NA;0,1977;0,5306;-0,188
